beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J50,23,2.12389492,Intercontinental Airport,0,Assault,33,21,37,6,40,91,30.3,12.1,21.2,8.1,32,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,12016,Assault,934,705,829,113,845,2468,822.7,-11.2,-9.5,1.9,3,7773,5867.2,6899.1,7032.3,6846.7
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Assault,668,660,783,134,801,2111,703.7,17.2,19.9,2.3,14,2642.8,2611.2,3097.8,3169,2784.1
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Assault,405,448,418,61,413,1271,423.7,3.2,2,-1.2,-3,1544.6,1708.6,1594.2,1575.1,1615.9
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7366,Assault,37,31,42,6,43,110,36.7,13.5,16.2,2.4,17,502.3,420.9,570.2,583.8,498.2
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",24503,Assault,322,435,458,69,444,1215,405,42.2,37.9,-3.1,10,1314.1,1775.3,1869.2,1812,1652.9
2A10,2,3.30928608,Irvington and Ryon,17885,Assault,802,792,714,105,702,2308,769.3,-11,-12.5,-1.7,-9,4484.2,4428.3,3992.2,3925.1,4301.4
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11560,Assault,296,349,294,23,275,939,313,-0.7,-7.1,-6.5,-12,2560.6,3019,2543.3,2378.9,2707.6
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",30557,Assault,341,311,320,49,316,972,324,-6.2,-7.3,-1.2,-2,1115.9,1017.8,1047.2,1034.1,1060.3
2A40,2,1.60546103,Old Sixth Ward and the First Ward,7295,Assault,121,169,170,27,170,460,153.3,40.5,40.5,0,11,1658.7,2316.7,2330.4,2330.4,2101.4
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",26382,Assault,396,374,481,67,472,1251,417,21.5,19.2,-1.9,13,1501,1417.6,1823.2,1789.1,1580.6
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",19898,Assault,245,250,328,47,326,823,274.3,33.9,33.1,-0.6,19,1231.3,1256.4,1648.4,1638.4,1378.5
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",38268,Assault,976,1109,1147,188,1194,3232,1077.3,17.5,22.3,4.1,11,2550.4,2898,2997.3,3120.1,2815.1
