beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J40,23,3.03933481,Intercontinental Airport,0,Burglary,1,0,0,0,0,1,0,-100,-100,NA,NA,NA,NA,NA,NA,NA
23J40,23,3.03933481,Intercontinental Airport,0,Other,3,1,0,1,1,4,1,-100,-66.7,NA,0,NA,NA,NA,NA,NA
23J40,23,3.03933481,Intercontinental Airport,0,Theft,3,2,2,0,2,7,2,-33.3,-33.3,0,0,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Arson,0,0,1,0,1,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Assault,33,21,37,6,40,91,30,12.1,21.2,8.1,33,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Auto Theft,19,14,32,5,34,65,22,68.4,78.9,6.2,55,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Burglary,4,0,0,0,0,4,1,-100,-100,NA,-100,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Drug Offenses,23,23,22,4,24,68,23,-4.3,4.3,9.1,4,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Other,99,181,230,40,241,510,170,132.3,143.4,4.8,42,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Robbery,0,1,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Sexual Assault,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Theft,112,57,84,20,90,253,84,-25,-19.6,7.1,7,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,12016,Arson,2,6,17,2,18,25,8,750,800,5.9,125,16.6,49.9,141.5,149.8,66.6
1A10,1,1.74646692,Downtown Central Business District,12016,Assault,934,705,829,113,845,2468,823,-11.2,-9.5,1.9,3,7773,5867.2,6899.1,7032.3,6849.2
1A10,1,1.74646692,Downtown Central Business District,12016,Auto Theft,155,146,237,41,254,538,179,52.9,63.9,7.2,42,1289.9,1215,1972.4,2113.8,1489.7
1A10,1,1.74646692,Downtown Central Business District,12016,Burglary,76,77,65,12,68,218,73,-14.5,-10.5,4.6,-7,632.5,640.8,540.9,565.9,607.5
1A10,1,1.74646692,Downtown Central Business District,12016,Drug Offenses,116,133,217,32,226,466,155,87.1,94.8,4.1,46,965.4,1106.9,1805.9,1880.8,1289.9
1A10,1,1.74646692,Downtown Central Business District,12016,Kidnapping,1,2,4,1,5,7,2,300,400,25,150,8.3,16.6,33.3,41.6,16.6
1A10,1,1.74646692,Downtown Central Business District,12016,Murder,2,2,3,0,3,7,2,50,50,0,50,16.6,16.6,25,25,16.6
1A10,1,1.74646692,Downtown Central Business District,12016,Other,697,1320,1544,212,1543,3561,1187,121.5,121.4,-0.1,30,5800.6,10985.4,12849.5,12841.2,9878.5
1A10,1,1.74646692,Downtown Central Business District,12016,Robbery,92,90,69,10,73,251,84,-25,-20.7,5.8,-13,765.6,749,574.2,607.5,699.1
1A10,1,1.74646692,Downtown Central Business District,12016,Sexual Assault,27,25,33,2,31,85,28,22.2,14.8,-6.1,11,224.7,208.1,274.6,258,233
1A10,1,1.74646692,Downtown Central Business District,12016,Theft,1507,883,936,167,1010,3326,1109,-37.9,-33,7.9,-9,12541.6,7348.5,7789.6,8405.5,9229.4
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Arson,4,5,2,1,3,11,4,-50,-25,50,-25,15.8,19.8,7.9,11.9,15.8
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Assault,668,660,783,134,801,2111,704,17.2,19.9,2.3,14,2642.8,2611.2,3097.8,3169,2785.3
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Auto Theft,179,199,264,55,284,642,214,47.5,58.7,7.6,33,708.2,787.3,1044.5,1123.6,846.7
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Burglary,309,304,217,30,210,830,277,-29.8,-32,-3.2,-24,1222.5,1202.7,858.5,830.8,1095.9
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Drug Offenses,106,88,72,20,87,266,89,-32.1,-17.9,20.8,-2,419.4,348.2,284.9,344.2,352.1
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Kidnapping,5,2,1,0,1,8,3,-80,-80,0,-67,19.8,7.9,4,4,11.9
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Murder,2,3,4,1,5,9,3,100,150,25,67,7.9,11.9,15.8,19.8,11.9
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Other,564,1050,1223,179,1217,2837,946,116.8,115.8,-0.5,29,2231.4,4154.1,4838.6,4814.8,3742.7
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Robbery,88,96,109,15,113,293,98,23.9,28.4,3.7,15,348.2,379.8,431.2,447.1,387.7
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Sexual Assault,31,24,27,8,33,82,27,-12.9,6.5,22.2,22,122.6,95,106.8,130.6,106.8
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Theft,2401,2056,2229,346,2194,6686,2229,-7.2,-8.6,-1.6,-2,9499.1,8134.2,8818.6,8680.2,8818.6
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Arson,2,3,4,0,4,9,3,100,100,0,33,7.6,11.4,15.3,15.3,11.4
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Assault,405,448,418,61,413,1271,424,3.2,2,-1.2,-3,1544.6,1708.6,1594.2,1575.1,1617.1
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Auto Theft,66,97,121,16,118,284,95,83.3,78.8,-2.5,24,251.7,369.9,461.5,450,362.3
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Burglary,236,205,182,15,176,623,208,-22.9,-25.4,-3.3,-15,900.1,781.8,694.1,671.2,793.3
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Drug Offenses,68,74,50,8,55,192,64,-26.5,-19.1,10,-14,259.3,282.2,190.7,209.8,244.1
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Kidnapping,3,1,4,1,5,8,3,33.3,66.7,25,67,11.4,3.8,15.3,19.1,11.4
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Murder,0,3,1,1,2,4,1,NA,NA,100,100,0,11.4,3.8,7.6,3.8
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Other,447,833,745,131,783,2025,675,66.7,75.2,5.1,16,1704.8,3177,2841.3,2986.3,2574.4
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Robbery,71,56,41,7,43,168,56,-42.3,-39.4,4.9,-23,270.8,213.6,156.4,164,213.6
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Sexual Assault,16,21,14,2,14,51,17,-12.5,-12.5,0,-18,61,80.1,53.4,53.4,64.8
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Theft,1920,1295,1122,233,1156,4337,1446,-41.6,-39.8,3,-20,7322.7,4939,4279.2,4408.8,5514.9
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7366,Assault,37,31,42,6,43,110,37,13.5,16.2,2.4,16,502.3,420.9,570.2,583.8,502.3
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7366,Auto Theft,10,13,14,4,15,37,12,40,50,7.1,25,135.8,176.5,190.1,203.6,162.9
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7366,Burglary,31,29,20,2,18,80,27,-35.5,-41.9,-10,-33,420.9,393.7,271.5,244.4,366.5
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7366,Drug Offenses,7,8,4,0,3,19,6,-42.9,-57.1,-25,-50,95,108.6,54.3,40.7,81.5
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7366,Murder,0,0,1,0,1,1,0,NA,NA,0,NA,0,0,13.6,13.6,0
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7366,Other,65,122,138,12,118,325,108,112.3,81.5,-14.5,9,882.4,1656.3,1873.5,1602,1466.2
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7366,Robbery,3,6,8,0,8,17,6,166.7,166.7,0,33,40.7,81.5,108.6,108.6,81.5
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7366,Sexual Assault,2,1,0,0,0,3,1,-100,-100,NA,-100,27.2,13.6,0,0,13.6
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7366,Theft,152,144,141,28,144,437,146,-7.2,-5.3,2.1,-1,2063.5,1954.9,1914.2,1954.9,1982.1
