beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J40,23,3.03933481,Intercontinental Airport,0,Other,3,1,0,1,1,4,1.3,-100,-66.7,NA,-23,NA,NA,NA,NA,NA
23J40,23,3.03933481,Intercontinental Airport,0,Property,4,2,2,0,2,8,2.7,-50,-50,0,-26,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Other,135,209,266,44,277,610,203.3,97,105.2,4.1,36,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Property,135,71,117,25,125,323,107.7,-13.3,-7.4,6.8,16,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Violent,20,18,23,7,29,61,20.3,15,45,26.1,43,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,12016,Other,1018,1681,2002,276,2024,4701,1567,96.7,98.8,1.1,29,8472,13989.7,16661.1,16844.2,13040.9
1A10,1,1.74646692,Downtown Central Business District,12016,Property,1740,1112,1255,222,1350,4107,1369,-27.9,-22.4,7.6,-1,14480.7,9254.3,10444.4,11235,11393.1
1A10,1,1.74646692,Downtown Central Business District,12016,Violent,851,596,697,94,702,2144,714.7,-18.1,-17.5,0.7,-2,7082.2,4960.1,5800.6,5842.2,5947.9
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Other,817,1350,1515,228,1524,3682,1227.3,85.4,86.5,0.6,24,3232.3,5341,5993.8,6029.4,4855.6
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Property,2893,2564,2712,432,2691,8169,2723,-6.3,-7,-0.8,-1,11445.6,10144,10729.5,10646.5,10773.1
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",25276,Violent,647,573,704,129,733,1924,641.3,8.8,13.3,4.1,14,2559.7,2267,2785.3,2900,2537.2
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Other,622,1075,971,159,1012,2668,889.3,56.1,62.7,4.2,14,2372.2,4099.9,3703.3,3859.6,3391.7
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Property,2224,1600,1429,264,1454,5253,1751,-35.7,-34.6,1.7,-17,8482.1,6102.2,5450,5545.4,6678.1
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26220,Violent,388,361,302,52,303,1051,350.3,-22.2,-21.9,0.3,-14,1479.8,1376.8,1151.8,1155.6,1336
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7366,Other,84,145,159,13,137,388,129.3,89.3,63.1,-13.8,6,1140.4,1968.5,2158.6,1859.9,1755.4
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7366,Property,193,186,175,34,177,554,184.7,-9.3,-8.3,1.1,-4,2620.1,2525.1,2375.8,2402.9,2507.5
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7366,Violent,30,23,34,5,36,87,29,13.3,20,5.9,24,407.3,312.2,461.6,488.7,393.7
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",24503,Other,622,919,965,154,978,2506,835.3,55.1,57.2,1.3,17,2538.5,3750.6,3938.3,3991.3,3409
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",24503,Property,1898,1835,1747,362,1830,5480,1826.7,-8,-3.6,4.8,0,7746,7488.9,7129.7,7468.5,7455
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",24503,Violent,284,335,363,53,349,982,327.3,27.8,22.9,-3.9,7,1159,1367.2,1481.5,1424.3,1335.8
2A10,2,3.30928608,Irvington and Ryon,17885,Other,746,1124,1081,168,1103,2951,983.7,44.9,47.9,2,12,4171.1,6284.6,6044.2,6167.2,5500.1
2A10,2,3.30928608,Irvington and Ryon,17885,Property,709,748,710,132,734,2167,722.3,0.1,3.5,3.4,2,3964.2,4182.3,3969.8,4104,4038.6
2A10,2,3.30928608,Irvington and Ryon,17885,Violent,743,702,579,88,569,2024,674.7,-22.1,-23.4,-1.7,-16,4154.3,3925.1,3237.3,3181.4,3772.4
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11560,Other,385,491,537,73,524,1413,471,39.5,36.1,-2.4,11,3330.4,4247.4,4645.3,4532.9,4074.4
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11560,Property,432,429,453,72,456,1314,438,4.9,5.6,0.7,4,3737,3711.1,3918.7,3944.6,3788.9
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11560,Violent,286,309,233,28,230,828,276,-18.5,-19.6,-1.3,-17,2474,2673,2015.6,1989.6,2387.5
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",30557,Other,507,761,764,116,775,2032,677.3,50.7,52.9,1.4,14,1659.2,2490.4,2500.2,2536.2,2216.5
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",30557,Property,1611,1164,1278,230,1312,4053,1351,-20.7,-18.6,2.7,-3,5272.1,3809.3,4182.3,4293.6,4421.2
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",30557,Violent,281,243,232,46,233,756,252,-17.4,-17.1,0.4,-8,919.6,795.2,759.2,762.5,824.7
2A40,2,1.60546103,Old Sixth Ward and the First Ward,7295,Other,244,414,447,82,472,1105,368.3,83.2,93.4,5.6,28,3344.8,5675.1,6127.5,6470.2,5048.7
2A40,2,1.60546103,Old Sixth Ward and the First Ward,7295,Property,676,659,660,99,640,1995,665,-2.4,-5.3,-3,-4,9266.6,9033.6,9047.3,8773.1,9115.8
2A40,2,1.60546103,Old Sixth Ward and the First Ward,7295,Violent,121,126,128,20,126,375,125,5.8,4.1,-1.6,1,1658.7,1727.2,1754.6,1727.2,1713.5
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",26382,Other,581,877,1123,180,1153,2581,860.3,93.3,98.5,2.7,34,2202.3,3324.2,4256.7,4370.4,3260.9
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",26382,Property,2052,1682,1690,279,1736,5424,1808,-17.6,-15.4,2.7,-4,7778,6375.6,6405.9,6580.2,6853.2
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",26382,Violent,354,307,413,56,399,1074,358,16.7,12.7,-3.4,11,1341.8,1163.7,1565.5,1512.4,1357
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",19898,Other,371,495,645,102,644,1511,503.7,73.9,73.6,-0.2,28,1864.5,2487.7,3241.5,3236.5,2531.4
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",19898,Property,1062,1117,1152,203,1168,3331,1110.3,8.5,10,1.4,5,5337.2,5613.6,5789.5,5869.9,5580
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",19898,Violent,212,206,241,32,235,659,219.7,13.7,10.8,-2.5,7,1065.4,1035.3,1211.2,1181,1104.1
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",38268,Other,1122,1768,1889,276,1914,4779,1593,68.4,70.6,1.3,20,2932,4620,4936.2,5001.6,4162.7
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",38268,Property,1970,1939,2024,399,2073,5933,1977.7,2.7,5.2,2.4,5,5147.9,5066.9,5289,5417.1,5168
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",38268,Violent,957,1055,1016,161,1024,3028,1009.3,6.2,7,0.8,1,2500.8,2756.9,2655,2675.9,2637.5
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",22824,Other,344,497,553,79,579,1394,464.7,60.8,68.3,4.7,25,1507.2,2177.5,2422.9,2536.8,2036
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",22824,Property,845,719,684,92,668,2248,749.3,-19.1,-20.9,-2.3,-11,3702.2,3150.2,2996.8,2926.7,3282.9
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",22824,Violent,221,230,227,32,229,678,226,2.7,3.6,0.9,1,968.3,1007.7,994.6,1003.3,990.2
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",12862,Other,678,1058,1134,130,1117,2870,956.7,67.3,64.7,-1.5,17,5271.3,8225.8,8816.7,8684.5,7438.2
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",12862,Property,800,812,814,110,804,2426,808.7,1.8,0.5,-1.2,-1,6219.9,6313.2,6328.7,6251,6287.5
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",12862,Violent,651,659,619,68,585,1929,643,-4.9,-10.1,-5.5,-9,5061.4,5123.6,4812.6,4548.3,4999.2
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",19168,Other,728,1319,1268,217,1301,3315,1105,74.2,78.7,2.6,18,3798,6881.3,6615.2,6787.4,5764.8
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",19168,Property,1689,1633,1252,213,1249,4574,1524.7,-25.9,-26.1,-0.2,-18,8811.6,8519.4,6531.7,6516.1,7954.4
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",19168,Violent,790,782,732,108,726,2304,768,-7.3,-8.1,-0.8,-5,4121.5,4079.7,3818.9,3787.6,4006.7
5F10,5,3.25978513,Afton Village and Pine Terrace,15059,Other,362,541,519,84,522,1422,474,43.4,44.2,0.6,10,2403.9,3592.5,3446.4,3466.4,3147.6
5F10,5,3.25978513,Afton Village and Pine Terrace,15059,Property,765,854,768,144,797,2387,795.7,0.4,4.2,3.8,0,5080,5671,5099.9,5292.5,5283.9
5F10,5,3.25978513,Afton Village and Pine Terrace,15059,Violent,292,248,287,49,307,827,275.7,-1.7,5.1,7,11,1939,1646.9,1905.8,2038.6,1830.8
