beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J40,23,3.03933481,Intercontinental Airport,0,Burglary,1,0,0,0,0,1,0.3,-100,-100,NA,-100,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Burglary,4,0,0,0,0,4,1.3,-100,-100,NA,-100,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17359,Burglary,76,77,65,16,69,218,72.7,-14.5,-9.2,6.2,-5,437.8,443.6,374.4,397.5,418.8
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27449,Burglary,309,304,217,49,215,830,276.7,-29.8,-30.4,-0.9,-22,1125.7,1107.5,790.6,783.3,1008.1
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26972,Burglary,236,205,182,33,178,623,207.7,-22.9,-24.6,-2.2,-14,875,760,674.8,659.9,770.1
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",6765,Burglary,31,29,20,2,15,80,26.7,-35.5,-51.6,-25,-44,458.2,428.7,295.6,221.7,394.7
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26355,Burglary,240,212,142,45,147,594,198,-40.8,-38.7,3.5,-26,910.6,804.4,538.8,557.8,751.3
2A10,2,3.30928608,Irvington and Ryon,18357,Burglary,131,116,118,44,141,365,121.7,-9.9,7.6,19.5,16,713.6,631.9,642.8,768.1,663
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",10730,Burglary,94,77,80,16,77,251,83.7,-14.9,-18.1,-3.8,-8,876,717.6,745.6,717.6,780.1
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",30794,Burglary,276,175,142,30,142,593,197.7,-48.6,-48.6,0,-28,896.3,568.3,461.1,461.1,642
2A40,2,1.60546103,Old Sixth Ward and the First Ward,7770,Burglary,79,65,61,10,56,205,68.3,-22.8,-29.1,-8.2,-18,1016.7,836.6,785.1,720.7,879
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",28700,Burglary,214,130,150,28,147,494,164.7,-29.9,-31.3,-2,-11,745.6,453,522.6,512.2,573.9
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21326,Burglary,139,133,134,38,139,406,135.3,-3.6,0,3.7,3,651.8,623.7,628.3,651.8,634.4
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",33931,Burglary,309,336,336,83,330,981,327,8.7,6.8,-1.8,1,910.7,990.2,990.2,972.6,963.7
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23113,Burglary,131,133,140,29,134,404,134.7,6.9,2.3,-4.3,-1,566.8,575.4,605.7,579.8,582.8
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13257,Burglary,183,191,183,17,169,557,185.7,0,-7.7,-7.7,-9,1380.4,1440.7,1380.4,1274.8,1400.8
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",19512,Burglary,154,143,137,36,132,434,144.7,-11,-14.3,-3.6,-9,789.3,732.9,702.1,676.5,741.6
5F10,5,3.25978513,Afton Village and Pine Terrace,13902,Burglary,124,98,119,33,133,341,113.7,-4,7.3,11.8,17,892,704.9,856,956.7,817.9
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",16828,Burglary,235,227,218,31,196,680,226.7,-7.2,-16.6,-10.1,-14,1396.5,1348.9,1295.5,1164.7,1347.2
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33440,Burglary,175,156,178,50,181,509,169.7,1.7,3.4,1.7,7,523.3,466.5,532.3,541.3,507.5
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18199,Burglary,169,192,132,42,129,493,164.3,-21.9,-23.7,-2.3,-21,928.6,1055,725.3,708.8,902.8
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",37617,Burglary,219,212,123,52,145,554,184.7,-43.8,-33.8,17.9,-21,582.2,563.6,327,385.5,491
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20476,Burglary,149,190,124,23,108,463,154.3,-16.8,-27.5,-12.9,-30,727.7,927.9,605.6,527.4,753.6
22B30,22,2.8264671,Aldine and Imperial Valley,18502,Burglary,137,171,122,25,127,430,143.3,-10.9,-7.3,4.1,-11,740.5,924.2,659.4,686.4,774.5
22B20,22,4.61158268,Greenspoint,24000,Burglary,278,276,269,70,273,823,274.3,-3.2,-1.8,1.5,-0,1158.3,1150,1120.8,1137.5,1142.9
7C10,7,3.47828324,"Fifth Ward, North Park and Pinecrest",12524,Burglary,145,126,121,42,134,392,130.7,-16.6,-7.6,10.7,3,1157.8,1006.1,966.1,1069.9,1043.6
7C20,7,7.08575157,"Huntington Place, Willshire Place, Kashmere Gardens and Liberty Gardens",21312,Burglary,256,243,289,48,264,788,262.7,12.9,3.1,-8.7,0,1201.2,1140.2,1356,1238.7,1232.6
7C30,7,4.51719841,"Camden Woods, Archers Acres and Croyden Gardens",18012,Burglary,155,159,117,34,123,431,143.7,-24.5,-20.6,5.1,-14,860.5,882.7,649.6,682.9,797.8
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,8126,Burglary,45,56,47,11,44,148,49.3,4.4,-2.2,-6.4,-11,553.8,689.1,578.4,541.5,606.7
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11438,Burglary,119,112,126,32,119,357,119,5.9,0,-5.6,0,1040.4,979.2,1101.6,1040.4,1040.4
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",11828,Burglary,182,95,142,29,140,419,139.7,-22,-23.1,-1.4,0,1538.7,803.2,1200.5,1183.6,1181.1
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7247,Burglary,69,47,61,8,55,177,59,-11.6,-20.3,-9.8,-7,952.1,648.5,841.7,758.9,814.1
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",10545,Burglary,112,83,84,28,87,279,93,-25,-22.3,3.6,-6,1062.1,787.1,796.6,825,881.9
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",7607,Burglary,54,32,27,4,21,113,37.7,-50,-61.1,-22.2,-44,709.9,420.7,354.9,276.1,495.6
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8133,Burglary,93,58,59,15,63,210,70,-36.6,-32.3,6.8,-10,1143.5,713.1,725.4,774.6,860.7
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19229,Burglary,140,102,109,21,107,351,117,-22.1,-23.6,-1.8,-9,728.1,530.4,566.9,556.5,608.5
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",5597,Burglary,36,33,40,10,40,109,36.3,11.1,11.1,0,10,643.2,589.6,714.7,714.7,648.6
9C20,9,7.5383173,Denver Harbor and Houston Harbor,15752,Burglary,109,91,70,20,70,270,90,-35.8,-35.8,0,-22,692,577.7,444.4,444.4,571.4
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9165,Burglary,54,72,50,9,43,176,58.7,-7.4,-20.4,-14,-27,589.2,785.6,545.6,469.2,640.5
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",22769,Burglary,188,181,163,35,163,532,177.3,-13.3,-13.3,0,-8,825.7,794.9,715.9,715.9,778.7
10H10,10,2.81830654,Oak Lawn and Ranger,11304,Burglary,53,87,64,12,61,204,68,20.8,15.1,-4.7,-10,468.9,769.6,566.2,539.6,601.6
10H20,10,1.75743169,Eastwood and Broadmoor,10142,Burglary,62,86,59,14,63,207,69,-4.8,1.6,6.8,-9,611.3,848,581.7,621.2,680.3
10H30,10,1.02691154,Near East End,4160,Burglary,51,50,47,9,47,148,49.3,-7.8,-7.8,0,-5,1226,1201.9,1129.8,1129.8,1185.1
10H40,10,0.99627062,Midtown,8194,Burglary,141,151,102,18,98,394,131.3,-27.7,-30.5,-3.9,-25,1720.8,1842.8,1244.8,1196,1602.4
10H50,10,2.30843079,the University of Houston area,12867,Burglary,187,188,158,25,139,533,177.7,-15.5,-25.7,-12,-22,1453.3,1461.1,1227.9,1080.3,1381.1
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20363,Burglary,137,124,141,26,136,402,134,2.9,-0.7,-3.5,1,672.8,608.9,692.4,667.9,658.1
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",15650,Burglary,154,136,111,29,110,401,133.7,-27.9,-28.6,-0.9,-18,984,869,709.3,702.9,854.3
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",18584,Burglary,119,101,87,21,89,307,102.3,-26.9,-25.2,2.3,-13,640.3,543.5,468.1,478.9,550.5
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",27726,Burglary,177,176,125,31,126,478,159.3,-29.4,-28.8,0.8,-21,638.4,634.8,450.8,454.4,574.6
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18100,Burglary,55,62,62,10,54,179,59.7,12.7,-1.8,-12.9,-10,303.9,342.5,342.5,298.3,329.8
11H30,11,2.84278059,Meadow Brook and Park Place,15237,Burglary,102,74,75,16,69,251,83.7,-26.5,-32.4,-8,-18,669.4,485.7,492.2,452.8,549.3
11H40,11,6.14001938,Allendale and Oak Meadows,8423,Burglary,34,22,17,5,18,73,24.3,-50,-47.1,5.9,-26,403.7,261.2,201.8,213.7,288.5
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",7615,Burglary,42,37,45,10,46,124,41.3,7.1,9.5,2.2,11,551.5,485.9,590.9,604.1,542.4
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",43826,Burglary,289,285,289,78,311,863,287.7,0,7.6,7.6,8,659.4,650.3,659.4,709.6,656.5
12D20,12,3.83700574,Sage,22428,Burglary,131,131,170,59,203,432,144,29.8,55,19.4,41,584.1,584.1,758,905.1,642.1
12D30,12,3.99301158,Gulf Palms and Beamer,14676,Burglary,62,79,48,13,54,189,63,-22.6,-12.9,12.5,-14,422.5,538.3,327.1,367.9,429.3
12D40,12,9.68663455,Scarsdale and Ellington Field,10667,Burglary,75,68,79,22,86,222,74,5.3,14.7,8.9,16,703.1,637.5,740.6,806.2,693.7
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",25606,Burglary,41,32,32,16,41,105,35,-22,0,28.1,17,160.1,125,125,160.1,136.7
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22499,Burglary,76,62,85,11,79,223,74.3,11.8,3.9,-7.1,6,337.8,275.6,377.8,351.1,330.2
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,11955,Burglary,82,90,96,18,99,268,89.3,17.1,20.7,3.1,11,685.9,752.8,803,828.1,747
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23207,Burglary,166,171,116,30,116,453,151,-30.1,-30.1,0,-23,715.3,736.8,499.8,499.8,650.7
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36151,Burglary,328,256,243,66,244,827,275.7,-25.9,-25.6,0.4,-11,907.3,708.1,672.2,674.9,762.6
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",1524,Burglary,12,10,13,3,12,35,11.7,8.3,0,-7.7,3,787.4,656.2,853,787.4,767.7
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13362,Burglary,66,77,35,15,44,178,59.3,-47,-33.3,25.7,-26,493.9,576.3,261.9,329.3,443.8
