offense_type,nibrs_class,total19,total20,total21,total22,projected22,inc_19to21,inc_19to22sofar,inc_21to22sofar,inc_3yearto22sofar,rate19,rate20,rate21,rate22,rate_multiyear
Aggravated Assault,13A,14734,19356,19134,2821,17452,29.9,18.4,-8.8,-2,639.3,839.9,830.3,757.3,769.8
All other larceny,23H,18522,17834,16821,2500,15466,-9.2,-16.5,-8.1,-13,803.7,773.9,729.9,671.1,769.1
All other offenses,90Z,0,13686,14854,2346,14513,NA,NA,-2.3,53,0,593.9,644.5,629.7,412.8
Animal Cruelty,720,330,310,542,86,532,64.2,61.2,-1.8,35,14.3,13.5,23.5,23.1,17.1
Arson,200,497,532,462,83,513,-7,3.2,11,3,21.6,23.1,20,22.3,21.6
Assisting or promoting prostitution,40B,69,53,35,5,31,-49.3,-55.1,-11.4,-41,3,2.3,1.5,1.3,2.3
Bad checks,90A,0,100,20,0,0,NA,NA,-100,-100,0,4.3,0.9,0,1.7
Betting/wagering,39A,11,5,2,1,6,-81.8,-45.5,200,0,0.5,0.2,0.1,0.3,0.3
Bribery,510,9,16,7,2,12,-22.2,33.3,71.4,12,0.4,0.7,0.3,0.5,0.5
"Burglary, Breaking and Entering",220,16901,15373,13910,2054,12707,-17.7,-24.8,-8.6,-17,733.4,667.1,603.6,551.4,668
"Counterfeiting, forgery",250,2865,2093,2496,341,2110,-12.9,-26.4,-15.5,-15,124.3,90.8,108.3,91.6,107.8
"Credit card, ATM fraud",26B,3927,2343,1925,324,2004,-51,-49,4.1,-27,170.4,101.7,83.5,87,118.5
"Curfew, loitering, vagrancy violations",90B,0,46,49,8,49,NA,NA,0,55,0,2,2.1,2.1,1.4
"Destruction, damage, vandalism",290,21637,23315,22597,3436,21257,4.4,-1.8,-5.9,-6,938.9,1011.7,980.5,922.4,977
Disorderly conduct,90C,0,2050,2526,382,2363,NA,NA,-6.5,55,0,89,109.6,102.5,66.2
Driving under the influence,90D,0,7508,7503,1012,6261,NA,NA,-16.6,25,0,325.8,325.6,271.7,217.1
Drug equipment violations,35B,1190,1205,1306,262,1621,9.7,36.2,24.1,31,51.6,52.3,56.7,70.3,53.5
"Drug, narcotic violations",35A,9032,7759,8050,1249,7727,-10.9,-14.4,-4,-7,391.9,336.7,349.3,335.3,359.3
Drunkenness,90E,0,880,392,41,254,NA,NA,-35.2,-40,0,38.2,17,11,18.4
Embezzlement,270,550,325,245,43,266,-55.5,-51.6,8.6,-29,23.9,14.1,10.6,11.5,16.2
"Extortion, Blackmail",210,184,194,211,39,241,14.7,31,14.2,23,8,8.4,9.2,10.5,8.5
"False pretenses, swindle",26A,3059,2225,2272,369,2283,-25.7,-25.4,0.5,-9,132.7,96.5,98.6,99.1,109.3
"Family offenses, no violence",90F,0,565,540,80,495,NA,NA,-8.3,34,0,24.5,23.4,21.5,16
Forcible fondling,11D,587,520,540,46,285,-8,-51.4,-47.2,-48,25.5,22.6,23.4,12.4,23.8
Forcible rape,11A,787,696,664,78,483,-15.6,-38.6,-27.3,-33,34.1,30.2,28.8,21,31.1
Forcible sodomy,11B,455,421,488,54,334,7.3,-26.6,-31.6,-27,19.7,18.3,21.2,14.5,19.7
From coin-operated machine or device,23E,180,226,108,7,43,-40,-76.1,-60.2,-75,7.8,9.8,4.7,1.9,7.4
Gambling equipment violations,39C,16,15,28,5,31,75,93.8,10.7,58,0.7,0.7,1.2,1.3,0.9
Hacking/Computer Invasion,26G,96,100,108,21,130,12.5,35.4,20.4,28,4.2,4.3,4.7,5.6,4.4
Human Trafficking/Commercial Sex Act,64A,96,98,86,11,68,-10.4,-29.2,-20.9,-27,4.2,4.3,3.7,3,4
Human Trafficking/Involuntary Servitude,64B,2,3,2,1,6,0,200,200,157,0.1,0.1,0.1,0.3,0.1
Identify theft,26F,2652,2543,3382,434,2685,27.5,1.2,-20.6,-6,115.1,110.3,146.8,116.5,124.1
Impersonation,26C,485,94,98,16,99,-79.8,-79.6,1,-56,21,4.1,4.3,4.3,9.8
Incest,36A,0,3,1,0,0,NA,NA,-100,-100,0,0.1,0,0,0.1
Intimidation,13C,15734,20249,21435,2984,18460,36.2,17.3,-13.9,-4,682.7,878.6,930.1,801,830.5
Justifiable homicide,09C,0,1,1,0,0,NA,NA,-100,-100,0,0,0,0,0
"Kidnapping, abduction",100,231,265,227,53,328,-1.7,42,44.5,36,10,11.5,9.8,14.2,10.5
Liquor law violations,90G,0,64,94,12,74,NA,NA,-21.3,41,0,2.8,4.1,3.2,2.3
Motor vehicle theft,240,13645,15162,15976,2628,16258,17.1,19.1,1.8,9,592.1,657.9,693.2,705.5,647.7
"Murder, non-negligent",09A,280,400,465,85,526,66.1,87.9,13.1,38,12.1,17.4,20.2,22.8,16.6
Negligent manslaughter,09B,9,13,3,1,6,-66.7,-33.3,100,-28,0.4,0.6,0.1,0.3,0.4
Peeping tom,90H,0,29,14,0,0,NA,NA,-100,-100,0,1.3,0.6,0,0.6
Pocket-picking,23A,282,232,189,29,179,-33,-36.5,-5.3,-24,12.2,10.1,8.2,7.8,10.2
"Pornographs, obscene material",370,305,414,371,51,316,21.6,3.6,-14.8,-13,13.2,18,16.1,13.7,15.8
Promoting gambling,39B,10,4,5,1,6,-50,-40,20,-5,0.4,0.2,0.2,0.3,0.3
Prostitution,40A,684,363,417,56,346,-39,-49.4,-17,-29,29.7,15.8,18.1,15,21.2
Purchasing prostitution,40C,309,252,390,43,266,26.2,-13.9,-31.8,-16,13.4,10.9,16.9,11.5,13.8
Purse-snatching,23B,516,348,314,34,210,-39.1,-59.3,-33.1,-47,22.4,15.1,13.6,9.1,17
Robbery,120,9200,8816,7802,1195,7393,-15.2,-19.6,-5.2,-14,399.2,382.5,338.5,320.8,373.4
Runaway,90I,0,13,7,0,0,NA,NA,-100,-100,0,0.6,0.3,0,0.3
Sexual assault with an object,11C,14,76,23,2,12,64.3,-14.3,-47.8,-68,0.6,3.3,1,0.5,1.6
Shoplifting,23C,10789,11841,9958,1684,10418,-7.7,-3.4,4.6,-4,468.2,513.8,432.1,452.1,471.4
Simple assault,13B,31001,29033,26736,3980,24622,-13.8,-20.6,-7.9,-15,1345.2,1259.8,1160.1,1068.4,1255
Statutory rape,36B,113,83,87,9,56,-23,-50.4,-35.6,-41,4.9,3.6,3.8,2.4,4.1
Stolen property offenses,280,376,336,365,46,285,-2.9,-24.2,-21.9,-21,16.3,14.6,15.8,12.4,15.6
Theft from building,23D,3557,2869,2364,355,2196,-33.5,-38.3,-7.1,-25,154.3,124.5,102.6,95.3,127.1
Theft from motor vehicle,23F,33084,27720,23580,4020,24869,-28.7,-24.8,5.5,-12,1435.6,1202.8,1023.2,1079.1,1220.5
Theft of motor vehicle parts or accessory,23G,5871,7353,13390,2977,18417,128.1,213.7,37.5,108,254.8,319.1,581,799.1,384.9
Trespass of real property,90J,0,5418,6127,1041,6440,NA,NA,5.1,67,0,235.1,265.9,279.4,167
Weapon law violations,520,2148,2930,3781,647,4003,76,86.4,5.9,36,93.2,127.1,164.1,173.7,128.1
Welfare fraud,26D,6,20,26,6,37,333.3,516.7,42.3,113,0.3,0.9,1.1,1.6,0.8
Wire fraud,26E,54,37,54,16,99,0,83.3,83.3,105,2.3,1.6,2.3,4.3,2.1
