beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years,previous_year
23J40,23,3.03933481,Ellington Field,0,Assault,0,0,0,4,1,2,4,1,NA,NA,-50,100,NA,NA,NA,NA,NA,NA,4
23J50,23,2.12389492,Hobby Airport,0,Assault,33,21,37,50,13,43,141,35.2,51.5,30.3,-14,22.2,NA,NA,NA,NA,NA,NA,50
1A10,1,1.74646692,Downtown Central Business District,17000,Assault,934,705,829,956,551,1107,3424,856,2.4,18.5,15.8,29.3,5494.1,4147.1,4876.5,5623.5,6511.8,5035.3,956
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Assault,668,660,783,735,397,757,2846,711.5,10,13.3,3,6.4,2474.1,2444.4,2900,2722.2,2803.7,2635.2,735
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Assault,405,448,418,444,250,487,1715,428.8,9.6,20.2,9.7,13.6,1500,1659.3,1548.1,1644.4,1803.7,1588.1,444
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Assault,37,31,42,37,31,51,147,36.8,0,37.8,37.8,38.6,528.6,442.9,600,528.6,728.6,525.7,37
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Assault,322,435,458,502,233,504,1717,429.2,55.9,56.5,0.4,17.4,1238.5,1673.1,1761.5,1930.8,1938.5,1650.8,502
2A10,2,3.30928608,Irvington and Ryon,18000,Assault,802,792,714,671,356,701,2979,744.8,-16.3,-12.6,4.5,-5.9,4455.6,4400,3966.7,3727.8,3894.4,4137.8,671
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Assault,296,349,294,247,117,251,1186,296.5,-16.6,-15.2,1.6,-15.3,2690.9,3172.7,2672.7,2245.5,2281.8,2695.5,247
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Assault,341,311,320,284,155,294,1256,314,-16.7,-13.8,3.5,-6.4,1100,1003.2,1032.3,916.1,948.4,1012.9,284
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Assault,121,169,170,185,109,189,645,161.2,52.9,56.2,2.2,17.2,1512.5,2112.5,2125,2312.5,2362.5,2015,185
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Assault,396,374,481,441,252,494,1692,423,11.4,24.7,12,16.8,1365.5,1289.7,1658.6,1520.7,1703.4,1458.6,441
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Assault,245,250,328,347,155,336,1170,292.5,41.6,37.1,-3.2,14.9,1166.7,1190.5,1561.9,1652.4,1600,1392.9,347
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Assault,976,1109,1147,1100,546,1086,4332,1083,12.7,11.3,-1.3,0.3,2870.6,3261.8,3373.5,3235.3,3194.1,3185.3,1100
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,Assault,233,274,285,283,149,293,1075,268.8,21.5,25.8,3.5,9,1013,1191.3,1239.1,1230.4,1273.9,1168.7,283
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,Assault,696,732,749,644,391,769,2821,705.2,-7.5,10.5,19.4,9,5353.8,5630.8,5761.5,4953.8,5915.4,5424.6,644
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,Assault,784,878,756,796,419,828,3214,803.5,1.5,5.6,4,3,3920,4390,3780,3980,4140,4017.5,796
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,Assault,300,313,328,350,168,351,1291,322.8,16.7,17,0.3,8.7,2142.9,2235.7,2342.9,2500,2507.1,2305.7,350
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,Assault,700,796,868,800,397,837,3164,791,14.3,19.6,4.6,5.8,4117.6,4682.4,5105.9,4705.9,4923.5,4652.9,800
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33000,Assault,946,1098,1100,947,499,1012,4091,1022.8,0.1,7,6.9,-1.1,2866.7,3327.3,3333.3,2869.7,3066.7,3099.4,947
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18000,Assault,824,980,848,765,425,809,3417,854.2,-7.2,-1.8,5.8,-5.3,4577.8,5444.4,4711.1,4250,4494.4,4745.6,765
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,Assault,1122,1244,1116,1019,455,969,4501,1125.2,-9.2,-13.6,-4.9,-13.9,2952.6,3273.7,2936.8,2681.6,2550,2961.1,1019
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,Assault,1022,1184,1014,922,515,986,4142,1035.5,-9.8,-3.5,6.9,-4.8,5110,5920,5070,4610,4930,5177.5,922
22B30,22,2.8264671,Aldine and Imperial Valley,19000,Assault,671,677,728,691,355,686,2767,691.8,3,2.2,-0.7,-0.8,3531.6,3563.2,3831.6,3636.8,3610.5,3641.1,691
