beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,total24,last12mos,total_prior4years,avg_prior4years,inc_20to23,inc_20tolast12,inc_23tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior4years,previous_year
23J40,23,3.03933481,Ellington Field,0,Auto Theft,0,0,0,1,1,0,1,2,0.5,NA,NA,0,100,NA,NA,NA,NA,NA,NA,NA,1
23J50,23,2.12389492,Hobby Airport,0,Auto Theft,19,14,32,39,58,11,59,143,35.8,314.3,321.4,1.7,64.8,NA,NA,NA,NA,NA,NA,NA,58
1A10,1,1.74646692,Downtown Central Business District,17000,Auto Theft,155,146,237,293,301,65,307,977,244.2,106.2,110.3,2,25.7,911.8,858.8,1394.1,1723.5,1770.6,1805.9,1436.5,301
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Auto Theft,179,199,264,378,377,111,383,1218,304.5,89.4,92.5,1.6,25.8,663,737,977.8,1400,1396.3,1418.5,1127.8,377
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Auto Theft,66,97,121,195,190,51,178,603,150.8,95.9,83.5,-6.3,18,244.4,359.3,448.1,722.2,703.7,659.3,558.5,190
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Auto Theft,10,13,14,19,17,4,17,63,15.8,30.8,30.8,0,7.6,142.9,185.7,200,271.4,242.9,242.9,225.7,17
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Auto Theft,140,205,236,332,324,66,286,1097,274.2,58,39.5,-11.7,4.3,538.5,788.5,907.7,1276.9,1246.2,1100,1054.6,324
2A10,2,3.30928608,Irvington and Ryon,18000,Auto Theft,70,104,151,111,177,34,161,543,135.8,70.2,54.8,-9,18.6,388.9,577.8,838.9,616.7,983.3,894.4,754.4,177
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Auto Theft,58,64,81,84,108,28,115,337,84.2,68.8,79.7,6.5,36.6,527.3,581.8,736.4,763.6,981.8,1045.5,765.5,108
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Auto Theft,128,142,178,241,267,88,284,828,207,88,100,6.4,37.2,412.9,458.1,574.2,777.4,861.3,916.1,667.7,267
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Auto Theft,48,56,72,96,138,24,115,362,90.5,146.4,105.4,-16.7,27.1,600,700,900,1200,1725,1437.5,1131.2,138
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Auto Theft,126,158,212,279,333,65,307,982,245.5,110.8,94.3,-7.8,25.1,434.5,544.8,731,962.1,1148.3,1058.6,846.6,333
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Auto Theft,157,223,195,193,236,72,252,847,211.8,5.8,13,6.8,19,747.6,1061.9,928.6,919,1123.8,1200,1008.6,236
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Auto Theft,360,327,326,389,507,142,531,1549,387.2,55,62.4,4.7,37.1,1058.8,961.8,958.8,1144.1,1491.2,1561.8,1138.8,507
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,Auto Theft,55,68,55,89,95,38,115,307,76.8,39.7,69.1,21.1,49.7,239.1,295.7,239.1,387,413,500,333.9,95
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,Auto Theft,118,130,149,149,164,36,171,592,148,26.2,31.5,4.3,15.5,907.7,1000,1146.2,1146.2,1261.5,1315.4,1138.5,164
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,Auto Theft,209,196,247,281,286,94,281,1010,252.5,45.9,43.4,-1.7,11.3,1045,980,1235,1405,1430,1405,1262.5,286
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,Auto Theft,100,112,94,95,127,30,121,428,107,13.4,8,-4.7,13.1,714.3,800,671.4,678.6,907.1,864.3,764.3,127
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,Auto Theft,293,317,289,295,404,84,398,1305,326.2,27.4,25.6,-1.5,22,1723.5,1864.7,1700,1735.3,2376.5,2341.2,1918.8,404
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33000,Auto Theft,306,354,304,274,319,127,362,1251,312.8,-9.9,2.3,13.5,15.7,927.3,1072.7,921.2,830.3,966.7,1097,947.9,319
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18000,Auto Theft,127,110,104,152,194,40,189,560,140,76.4,71.8,-2.6,35,705.6,611.1,577.8,844.4,1077.8,1050,777.8,194
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,Auto Theft,184,171,165,160,229,60,236,725,181.2,33.9,38,3.1,30.2,484.2,450,434.2,421.1,602.6,621.1,476.8,229
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,Auto Theft,194,148,169,143,198,35,191,658,164.5,33.8,29.1,-3.5,16.1,970,740,845,715,990,955,822.5,198
22B30,22,2.8264671,Aldine and Imperial Valley,19000,Auto Theft,246,263,279,278,348,74,338,1168,292,32.3,28.5,-2.9,15.8,1294.7,1384.2,1468.4,1463.2,1831.6,1778.9,1536.8,348
22B20,22,4.61158268,Greenspoint,24000,Auto Theft,321,304,346,343,476,97,474,1469,367.2,56.6,55.9,-0.4,29.1,1337.5,1266.7,1441.7,1429.2,1983.3,1975,1530,476
7C10,7,3.47828324,"Fifth Ward, North Park and Pinecrest",13000,Auto Theft,92,101,70,122,97,23,96,390,97.5,-4,-5,-1,-1.5,707.7,776.9,538.5,938.5,746.2,738.5,750,97
