beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,2024,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years
23J40,23,3.03933481,Ellington Field,0,Arson,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J40,23,3.03933481,Ellington Field,0,Assault,0,0,0,4,1,0,1,4,1,NA,NA,-75,0,NA,NA,NA,NA,NA,NA
23J40,23,3.03933481,Ellington Field,0,Auto Theft,0,0,0,1,1,0,1,1,0.2,NA,NA,0,400,NA,NA,NA,NA,NA,NA
23J40,23,3.03933481,Ellington Field,0,Burglary,1,0,0,0,0,0,0,1,0.2,-100,-100,NA,-100,NA,NA,NA,NA,NA,NA
23J40,23,3.03933481,Ellington Field,0,Drug Offenses,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J40,23,3.03933481,Ellington Field,0,Kidnapping,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J40,23,3.03933481,Ellington Field,0,Murder,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J40,23,3.03933481,Ellington Field,0,Other,3,1,0,3,3,0,3,7,1.8,0,0,0,66.7,NA,NA,NA,NA,NA,NA
23J40,23,3.03933481,Ellington Field,0,Robbery,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J40,23,3.03933481,Ellington Field,0,Sexual Assault,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J40,23,3.03933481,Ellington Field,0,Theft,3,2,2,1,3,0,3,8,2,-66.7,0,200,50,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Arson,0,0,1,0,0,0,0,1,0.2,NA,NA,NA,-100,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Assault,33,21,37,50,39,1,35,141,35.2,51.5,6.1,-30,-0.6,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Auto Theft,19,14,32,39,49,3,50,104,26,105.3,163.2,28.2,92.3,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Burglary,4,0,0,1,1,1,2,5,1.2,-75,-50,100,66.7,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Drug Offenses,23,23,22,43,24,0,20,111,27.8,87,-13,-53.5,-28.1,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Kidnapping,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Murder,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Other,99,181,230,273,153,0,132,783,195.8,175.8,33.3,-51.6,-32.6,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Robbery,0,1,0,1,0,0,0,2,0.5,NA,NA,-100,-100,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Sexual Assault,0,1,0,0,1,0,1,1,0.2,NA,NA,NA,400,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Theft,112,57,84,112,125,9,132,365,91.2,0,17.9,17.9,44.7,NA,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17000,Arson,2,6,17,4,4,7,10,29,7.2,100,400,150,38.9,11.8,35.3,100,23.5,58.8,42.4
1A10,1,1.74646692,Downtown Central Business District,17000,Assault,934,705,829,956,1127,78,1136,3424,856,2.4,21.6,18.8,32.7,5494.1,4147.1,4876.5,5623.5,6682.4,5035.3
1A10,1,1.74646692,Downtown Central Business District,17000,Auto Theft,155,146,237,293,303,24,313,831,207.8,89,101.9,6.8,50.6,911.8,858.8,1394.1,1723.5,1841.2,1222.4
1A10,1,1.74646692,Downtown Central Business District,17000,Burglary,76,77,65,86,106,8,99,304,76,13.2,30.3,15.1,30.3,447.1,452.9,382.4,505.9,582.4,447.1
1A10,1,1.74646692,Downtown Central Business District,17000,Drug Offenses,116,133,217,148,169,0,158,614,153.5,27.6,36.2,6.8,2.9,682.4,782.4,1276.5,870.6,929.4,902.9
1A10,1,1.74646692,Downtown Central Business District,17000,Kidnapping,1,2,4,6,4,0,4,13,3.2,500,300,-33.3,25,5.9,11.8,23.5,35.3,23.5,18.8
1A10,1,1.74646692,Downtown Central Business District,17000,Murder,2,2,3,5,4,2,6,12,3,150,200,20,100,11.8,11.8,17.6,29.4,35.3,17.6
1A10,1,1.74646692,Downtown Central Business District,17000,Other,697,1320,1544,1468,1644,48,1570,5029,1257.2,110.6,125.3,6.9,24.9,4100,7764.7,9082.4,8635.3,9235.3,7395.3
1A10,1,1.74646692,Downtown Central Business District,17000,Robbery,92,90,69,94,100,6,100,345,86.2,2.2,8.7,6.4,16,541.2,529.4,405.9,552.9,588.2,507.1
1A10,1,1.74646692,Downtown Central Business District,17000,Sexual Assault,27,25,33,22,50,6,54,107,26.8,-18.5,100,145.5,101.5,158.8,147.1,194.1,129.4,317.6,157.6
1A10,1,1.74646692,Downtown Central Business District,17000,Theft,1507,883,936,1317,1368,110,1389,4643,1160.8,-12.6,-7.8,5.5,19.7,8864.7,5194.1,5505.9,7747.1,8170.6,6828.2
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Arson,4,5,2,2,4,0,4,13,3.2,-50,0,100,25,14.8,18.5,7.4,7.4,14.8,11.9
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Assault,668,660,783,735,852,86,872,2846,711.5,10,30.5,18.6,22.6,2474.1,2444.4,2900,2722.2,3229.6,2635.2
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Auto Theft,179,199,264,378,375,49,397,1020,255,111.2,121.8,5,55.7,663,737,977.8,1400,1470.4,944.4
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Burglary,309,304,217,211,211,20,210,1041,260.2,-31.7,-32,-0.5,-19.3,1144.4,1125.9,803.7,781.5,777.8,963.7
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Drug Offenses,106,88,72,72,70,0,60,338,84.5,-32.1,-43.4,-16.7,-29,392.6,325.9,266.7,266.7,222.2,313
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Kidnapping,5,2,1,2,2,0,2,10,2.5,-60,-60,0,-20,18.5,7.4,3.7,7.4,7.4,9.3
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Murder,2,3,4,3,2,0,1,12,3,50,-50,-66.7,-66.7,7.4,11.1,14.8,11.1,3.7,11.1
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Other,564,1050,1223,1184,1237,43,1204,4021,1005.2,109.9,113.5,1.7,19.8,2088.9,3888.9,4529.6,4385.2,4459.3,3723
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Robbery,88,96,109,92,90,2,87,385,96.2,4.5,-1.1,-5.4,-9.6,325.9,355.6,403.7,340.7,322.2,356.3
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Sexual Assault,31,24,27,26,20,4,22,108,27,-16.1,-29,-15.4,-18.5,114.8,88.9,100,96.3,81.5,100
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Theft,2401,2056,2229,2012,2166,186,2201,8698,2174.5,-16.2,-8.3,9.4,1.2,8892.6,7614.8,8255.6,7451.9,8151.9,8053.7
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Arson,2,3,4,6,2,4,6,15,3.8,200,200,0,57.9,7.4,11.1,14.8,22.2,22.2,14.1
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Assault,405,448,418,444,530,56,539,1715,428.8,9.6,33.1,21.4,25.7,1500,1659.3,1548.1,1644.4,1996.3,1588.1
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Auto Theft,66,97,121,195,190,22,193,479,119.8,195.5,192.4,-1,61.1,244.4,359.3,448.1,722.2,714.8,443.7
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Burglary,236,205,182,140,165,39,197,763,190.8,-40.7,-16.5,40.7,3.2,874.1,759.3,674.1,518.5,729.6,706.7
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Drug Offenses,68,74,50,49,29,0,23,241,60.2,-27.9,-66.2,-53.1,-61.8,251.9,274.1,185.2,181.5,85.2,223
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Kidnapping,3,1,4,3,1,0,1,11,2.8,0,-66.7,-66.7,-64.3,11.1,3.7,14.8,11.1,3.7,10.4
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Murder,0,3,1,2,1,0,1,6,1.5,NA,NA,-50,-33.3,0,11.1,3.7,7.4,3.7,5.6
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Other,447,833,745,859,829,41,805,2884,721,92.2,80.1,-6.3,11.7,1655.6,3085.2,2759.3,3181.5,2981.5,2670.4
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Robbery,71,56,41,48,58,14,68,216,54,-32.4,-4.2,41.7,25.9,263,207.4,151.9,177.8,251.9,200
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Sexual Assault,16,21,14,10,18,5,22,61,15.2,-37.5,37.5,120,44.7,59.3,77.8,51.9,37,81.5,56.3
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Theft,1920,1295,1122,1302,1389,241,1526,5639,1409.8,-32.2,-20.5,17.2,8.2,7111.1,4796.3,4155.6,4822.2,5651.9,5221.5
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Arson,0,0,0,0,3,0,3,0,0,NA,NA,NA,NA,0,0,0,0,42.9,0
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Assault,37,31,42,37,57,0,55,147,36.8,0,48.6,48.6,49.5,528.6,442.9,600,528.6,785.7,525.7
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Auto Theft,10,13,14,19,17,0,17,56,14,90,70,-10.5,21.4,142.9,185.7,200,271.4,242.9,200
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Burglary,31,29,20,14,23,9,32,94,23.5,-54.8,3.2,128.6,36.2,442.9,414.3,285.7,200,457.1,335.7
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Drug Offenses,7,8,4,3,5,0,5,22,5.5,-57.1,-28.6,66.7,-9.1,100,114.3,57.1,42.9,71.4,78.6
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Kidnapping,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Murder,0,0,1,0,0,0,0,1,0.2,NA,NA,NA,-100,0,0,14.3,0,0,2.9
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Other,65,122,138,92,89,4,83,417,104.2,41.5,27.7,-9.8,-20.3,928.6,1742.9,1971.4,1314.3,1185.7,1488.6
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Robbery,3,6,8,4,6,0,6,21,5.2,33.3,100,50,15.4,42.9,85.7,114.3,57.1,85.7,74.3
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Sexual Assault,2,1,0,1,1,0,0,4,1,-50,-100,-100,-100,28.6,14.3,0,14.3,0,14.3
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Theft,152,144,141,141,99,20,110,578,144.5,-7.2,-27.6,-22,-23.9,2171.4,2057.1,2014.3,2014.3,1571.4,2064.3
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Arson,1,0,1,0,2,0,2,2,0.5,-100,100,NA,300,3.8,0,3.8,0,7.7,1.9
