beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,total23,2024,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years
23J40,23,3.03933481,Ellington Field,0,Other,3,1,0,4,3,0,3,8,2,33.3,0,-25,50,NA,NA,NA,NA,NA,NA
23J40,23,3.03933481,Ellington Field,0,Property,4,2,2,2,4,0,4,10,2.5,-50,0,100,60,NA,NA,NA,NA,NA,NA
23J40,23,3.03933481,Ellington Field,0,Violent,0,0,0,3,2,0,2,3,0.8,NA,NA,-33.3,150,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Other,135,209,266,329,185,0,167,939,234.8,143.7,23.7,-49.2,-28.9,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Property,135,71,117,152,173,8,179,475,118.8,12.6,32.6,17.8,50.7,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Violent,20,18,23,38,33,0,31,99,24.8,90,55,-18.4,25,NA,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17000,Other,1018,1681,2002,1931,2208,44,2143,6632,1658,89.7,110.5,11,29.3,5988.2,9888.2,11776.5,11358.8,12605.9,9752.9
1A10,1,1.74646692,Downtown Central Business District,17000,Property,1740,1112,1255,1700,1810,93,1827,5807,1451.8,-2.3,5,7.5,25.8,10235.3,6541.2,7382.4,10000,10747.1,8540
1A10,1,1.74646692,Downtown Central Business District,17000,Violent,851,596,697,768,916,53,932,2912,728,-9.8,9.5,21.4,28,5005.9,3505.9,4100,4517.6,5482.4,4282.4
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Other,817,1350,1515,1459,1613,58,1609,5141,1285.2,78.6,96.9,10.3,25.2,3025.9,5000,5611.1,5403.7,5959.3,4760
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Property,2893,2564,2712,2603,2805,157,2847,10772,2693,-10,-1.6,9.4,5.7,10714.8,9496.3,10044.4,9640.7,10544.4,9974.1
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Violent,647,573,704,655,688,36,693,2579,644.8,1.2,7.1,5.8,7.5,2396.3,2122.2,2607.4,2425.9,2566.7,2388.1
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Other,622,1075,971,1084,1084,23,1045,3752,938,74.3,68,-3.6,11.4,2303.7,3981.5,3596.3,4014.8,3870.4,3474.1
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Property,2224,1600,1429,1643,1786,182,1894,6896,1724,-26.1,-14.8,15.3,9.9,8237,5925.9,5292.6,6085.2,7014.8,6385.2
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Violent,388,361,302,331,396,34,407,1382,345.5,-14.7,4.9,23,17.8,1437,1337,1118.5,1225.9,1507.4,1279.6
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Other,84,145,159,107,125,2,119,495,123.8,27.4,41.7,11.2,-3.9,1200,2071.4,2271.4,1528.6,1700,1768.6
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Property,193,186,175,174,147,13,155,728,182,-9.8,-19.7,-10.9,-14.8,2757.1,2657.1,2500,2485.7,2214.3,2600
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Violent,30,23,34,30,34,0,32,117,29.2,0,6.7,6.7,9.6,428.6,328.6,485.7,428.6,457.1,417.1
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Other,622,919,965,974,1031,24,999,3480,870,56.6,60.6,2.6,14.8,2392.3,3534.6,3711.5,3746.2,3842.3,3346.2
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Property,1898,1835,1747,2092,2014,112,2012,7572,1893,10.2,6,-3.8,6.3,7300,7057.7,6719.2,8046.2,7738.5,7280.8
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Violent,284,335,363,348,346,12,335,1330,332.5,22.5,18,-3.7,0.8,1092.3,1288.5,1396.2,1338.5,1288.5,1278.8
2A10,2,3.30928608,Irvington and Ryon,18000,Other,746,1124,1081,1155,1041,28,1022,4106,1026.5,54.8,37,-11.5,-0.4,4144.4,6244.4,6005.6,6416.7,5677.8,5702.8
2A10,2,3.30928608,Irvington and Ryon,18000,Property,709,748,710,862,980,68,1015,3029,757.2,21.6,43.2,17.7,34,3938.9,4155.6,3944.4,4788.9,5638.9,4206.7
2A10,2,3.30928608,Irvington and Ryon,18000,Violent,743,702,579,535,590,22,588,2559,639.8,-28,-20.9,9.9,-8.1,4127.8,3900,3216.7,2972.2,3266.7,3554.4
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Other,385,491,537,480,437,17,437,1893,473.2,24.7,13.5,-9,-7.7,3500,4463.6,4881.8,4363.6,3972.7,4301.8
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Property,432,429,453,453,491,31,505,1767,441.8,4.9,16.9,11.5,14.3,3927.3,3900,4118.2,4118.2,4590.9,4016.4
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Violent,286,309,233,211,216,23,231,1039,259.8,-26.2,-19.2,9.5,-11.1,2600,2809.1,2118.2,1918.2,2100,2361.8
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Other,507,761,764,747,797,20,781,2779,694.8,47.3,54,4.6,12.4,1635.5,2454.8,2464.5,2409.7,2519.4,2241.3
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Property,1611,1164,1278,1469,1642,136,1719,5522,1380.5,-8.8,6.7,17,24.5,5196.8,3754.8,4122.6,4738.7,5545.2,4453.2
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Violent,281,243,232,224,212,4,210,980,245,-20.3,-25.3,-6.2,-14.3,906.5,783.9,748.4,722.6,677.4,790.3
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Other,244,414,447,482,517,13,509,1587,396.8,97.5,108.6,5.6,28.3,3050,5175,5587.5,6025,6362.5,4960
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Property,676,659,660,657,846,52,853,2652,663,-2.8,26.2,29.8,28.7,8450,8237.5,8250,8212.5,10662.5,8287.5
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Violent,121,126,128,118,172,11,176,493,123.2,-2.5,45.5,49.2,42.9,1512.5,1575,1600,1475,2200,1540
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Other,581,877,1123,1196,1185,32,1146,3777,944.2,105.9,97.2,-4.2,21.4,2003.4,3024.1,3872.4,4124.1,3951.7,3255.9
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Property,2052,1682,1690,1842,2108,97,2108,7266,1816.5,-10.2,2.7,14.4,16,7075.9,5800,5827.6,6351.7,7269,6263.8
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Violent,354,307,413,368,402,11,386,1442,360.5,4,9,4.9,7.1,1220.7,1058.6,1424.1,1269,1331,1243.1
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Other,371,495,645,666,639,25,633,2177,544.2,79.5,70.6,-5,16.3,1766.7,2357.1,3071.4,3171.4,3014.3,2591.4
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Property,1062,1117,1152,1260,1438,101,1494,4591,1147.8,18.6,40.7,18.6,30.2,5057.1,5319,5485.7,6000,7114.3,5465.7
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Violent,212,206,241,241,233,30,258,900,225,13.7,21.7,7.1,14.7,1009.5,981,1147.6,1147.6,1228.6,1071.4
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Other,1122,1768,1889,1916,1977,56,1917,6695,1673.8,70.8,70.9,0.1,14.5,3300,5200,5555.9,5635.3,5638.2,4922.9
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Property,1970,1939,2024,2530,2738,191,2789,8463,2115.8,28.4,41.6,10.2,31.8,5794.1,5702.9,5952.9,7441.2,8202.9,6222.9
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Violent,957,1055,1016,977,951,43,938,4005,1001.2,2.1,-2,-4,-6.3,2814.7,3102.9,2988.2,2873.5,2758.8,2944.7
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,Other,344,497,553,570,551,10,534,1964,491,65.7,55.2,-6.3,8.8,1495.7,2160.9,2404.3,2478.3,2321.7,2134.8
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,Property,845,719,684,736,732,48,751,2984,746,-12.9,-11.1,2,0.7,3673.9,3126.1,2973.9,3200,3265.2,3243.5
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,Violent,221,230,227,223,217,26,237,901,225.2,0.9,7.2,6.3,5.2,960.9,1000,987,969.6,1030.4,979.1
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,Other,678,1058,1134,1029,1048,45,1046,3899,974.8,51.8,54.3,1.7,7.3,5215.4,8138.5,8723.1,7915.4,8046.2,7498.5
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,Property,800,812,814,821,815,47,820,3247,811.8,2.6,2.5,-0.1,1,6153.8,6246.2,6261.5,6315.4,6307.7,6244.6
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,Violent,651,659,619,533,607,34,622,2462,615.5,-18.1,-4.5,16.7,1.1,5007.7,5069.2,4761.5,4100,4784.6,4734.6
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,Other,728,1319,1268,1319,1542,39,1497,4634,1158.5,81.2,105.6,13.5,29.2,3640,6595,6340,6595,7485,5792.5
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,Property,1689,1633,1252,1370,1450,96,1446,5944,1486,-18.9,-14.4,5.5,-2.7,8445,8165,6260,6850,7230,7430
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,Violent,790,782,732,703,688,39,698,3007,751.8,-11,-11.6,-0.7,-7.2,3950,3910,3660,3515,3490,3759
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,Other,362,541,519,565,546,21,547,1987,496.8,56.1,51.1,-3.2,10.1,2585.7,3864.3,3707.1,4035.7,3907.1,3548.6
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,Property,765,854,768,774,600,30,601,3161,790.2,1.2,-21.4,-22.4,-23.9,5464.3,6100,5485.7,5528.6,4292.9,5644.3
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,Violent,292,248,287,299,312,16,317,1126,281.5,2.4,8.6,6,12.6,2085.7,1771.4,2050,2135.7,2264.3,2010.7
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,Other,962,1297,1291,1285,1391,31,1352,4835,1208.8,33.6,40.5,5.2,11.8,5658.8,7629.4,7594.1,7558.8,7952.9,7110.6
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,Property,2236,2013,2019,2107,2335,86,2311,8375,2093.8,-5.8,3.4,9.7,10.4,13152.9,11841.2,11876.5,12394.1,13594.1,12316.5
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,Violent,686,719,737,705,603,32,605,2847,711.8,2.8,-11.8,-14.2,-15,4035.3,4229.4,4335.3,4147.1,3558.8,4187.1
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33000,Other,814,1381,1486,1467,1368,52,1337,5148,1287,80.2,64.3,-8.9,3.9,2466.7,4184.8,4503,4445.5,4051.5,3900
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33000,Property,1213,1311,1121,1184,1237,101,1272,4829,1207.2,-2.4,4.9,7.4,5.4,3675.8,3972.7,3397,3587.9,3854.5,3658.2
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33000,Violent,919,1001,1002,857,949,49,962,3779,944.8,-6.7,4.7,12.3,1.8,2784.8,3033.3,3036.4,2597,2915.2,2863
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18000,Other,719,1108,1160,1021,1083,30,1069,4008,1002,42,48.7,4.7,6.7,3994.4,6155.6,6444.4,5672.2,5938.9,5566.7
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18000,Property,785,759,664,784,780,40,777,2992,748,-0.1,-1,-0.9,3.9,4361.1,4216.7,3688.9,4355.6,4316.7,4155.6
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18000,Violent,783,822,669,586,649,44,671,2860,715,-25.2,-14.3,14.5,-6.2,4350,4566.7,3716.7,3255.6,3727.8,3972.2
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,Other,889,1306,1307,1201,1306,49,1304,4703,1175.8,35.1,46.7,8.6,10.9,2339.5,3436.8,3439.5,3160.5,3431.6,3094.2
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,Property,1078,1066,923,992,1084,101,1145,4059,1014.8,-8,6.2,15.4,12.8,2836.8,2805.3,2428.9,2610.5,3013.2,2670.5
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,Violent,1026,1071,887,831,746,69,786,3815,953.8,-19,-23.4,-5.4,-17.6,2700,2818.4,2334.2,2186.8,2068.4,2510
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,Other,868,1380,1377,1251,1219,45,1201,4876,1219,44.1,38.4,-4,-1.5,4340,6900,6885,6255,6005,6095
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,Property,915,879,832,809,788,37,778,3435,858.8,-11.6,-15,-3.8,-9.4,4575,4395,4160,4045,3890,4294
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,Violent,914,1025,852,710,797,45,813,3501,875.2,-22.3,-11.1,14.5,-7.1,4570,5125,4260,3550,4065,4376
