beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,total24,last12mos,total_prior4years,avg_prior4years,inc_20to23,inc_20tolast12,inc_23tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior4years,previous_year
23J40,23,3.03933481,Ellington Field,0,Burglary,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
23J50,23,2.12389492,Hobby Airport,0,Burglary,4,0,0,1,1,3,3,2,0.5,NA,NA,200,500,NA,NA,NA,NA,NA,NA,NA,1
1A10,1,1.74646692,Downtown Central Business District,17000,Burglary,76,77,65,86,106,26,88,334,83.5,37.7,14.3,-17,5.4,447.1,452.9,382.4,505.9,623.5,517.6,491.2,106
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Burglary,309,304,217,211,212,52,209,944,236,-30.3,-31.2,-1.4,-11.4,1144.4,1125.9,803.7,781.5,785.2,774.1,874.1,212
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Burglary,236,205,182,140,166,73,192,693,173.2,-19,-6.3,15.7,10.9,874.1,759.3,674.1,518.5,614.8,711.1,641.5,166
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Burglary,31,29,20,14,23,6,25,86,21.5,-20.7,-13.8,8.7,16.3,442.9,414.3,285.7,200,328.6,357.1,307.1,23
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Burglary,240,212,142,166,147,42,136,667,166.8,-30.7,-35.8,-7.5,-18.5,923.1,815.4,546.2,638.5,565.4,523.1,641.5,147
2A10,2,3.30928608,Irvington and Ryon,18000,Burglary,131,116,118,170,158,59,177,562,140.5,36.2,52.6,12,26,727.8,644.4,655.6,944.4,877.8,983.3,780.6,158
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Burglary,94,77,80,75,74,32,83,306,76.5,-3.9,7.8,12.2,8.5,854.5,700,727.3,681.8,672.7,754.5,695.5,74
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Burglary,276,175,142,155,118,59,146,590,147.5,-32.6,-16.6,23.7,-1,890.3,564.5,458.1,500,380.6,471,475.8,118
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Burglary,79,65,61,50,44,9,41,220,55,-32.3,-36.9,-6.8,-25.5,987.5,812.5,762.5,625,550,512.5,687.5,44
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Burglary,214,130,150,135,110,29,106,525,131.2,-15.4,-18.5,-3.6,-19.2,737.9,448.3,517.2,465.5,379.3,365.5,452.4,110
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Burglary,139,133,134,147,93,35,101,507,126.8,-30.1,-24.1,8.6,-20.3,661.9,633.3,638.1,700,442.9,481,603.8,93
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Burglary,309,336,336,354,306,56,278,1332,333,-8.9,-17.3,-9.2,-16.5,908.8,988.2,988.2,1041.2,900,817.6,979.4,306
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,Burglary,131,133,140,113,107,29,113,493,123.2,-19.5,-15,5.6,-8.3,569.6,578.3,608.7,491.3,465.2,491.3,535.7,107
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,Burglary,183,191,183,127,137,74,194,638,159.5,-28.3,1.6,41.6,21.6,1407.7,1469.2,1407.7,976.9,1053.8,1492.3,1226.9,137
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,Burglary,154,143,137,142,160,61,179,582,145.5,11.9,25.2,11.9,23,770,715,685,710,800,895,727.5,160
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,Burglary,124,98,119,125,102,18,93,444,111,4.1,-5.1,-8.8,-16.2,885.7,700,850,892.9,728.6,664.3,792.9,102
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,Burglary,235,227,218,193,295,35,226,933,233.2,30,-0.4,-23.4,-3.1,1382.4,1335.3,1282.4,1135.3,1735.3,1329.4,1371.8,295
