beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J40,23,3.03933481,Ellington Field,0,Property,4,2,2,2,3,8,2.7,-50,-25,50,11,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Property,135,71,117,125,154,323,107.7,-13.3,14.1,31.6,43,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17000,Property,1740,1112,1255,1421,1751,4107,1369,-27.9,0.6,39.5,28,10235.3,6541.2,7382.4,10300,8052.9
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Property,2893,2564,2712,2202,2777,8169,2723,-6.3,-4,2.4,2,10714.8,9496.3,10044.4,10285.2,10085.2
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Property,2224,1600,1429,1368,1706,5253,1751,-35.7,-23.3,19.4,-3,8237,5925.9,5292.6,6318.5,6485.2
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Property,193,186,175,157,200,554,184.7,-9.3,3.6,14.3,8,2757.1,2657.1,2500,2857.1,2638.6
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Property,1898,1835,1747,1747,2155,5480,1826.7,-8,13.5,23.4,18,7300,7057.7,6719.2,8288.5,7025.8
2A10,2,3.30928608,Irvington and Ryon,18000,Property,709,748,710,741,888,2167,722.3,0.1,25.2,25.1,23,3938.9,4155.6,3944.4,4933.3,4012.8
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Property,432,429,453,400,488,1314,438,4.9,13,7.7,11,3927.3,3900,4118.2,4436.4,3981.8
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Property,1611,1164,1278,1289,1583,4053,1351,-20.7,-1.7,23.9,17,5196.8,3754.8,4122.6,5106.5,4358.1
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Property,676,659,660,531,673,1995,665,-2.4,-0.4,2,1,8450,8237.5,8250,8412.5,8312.5
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Property,2052,1682,1690,1516,1970,5424,1808,-17.6,-4,16.6,9,7075.9,5800,5827.6,6793.1,6234.5
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Property,1062,1117,1152,1074,1342,3331,1110.3,8.5,26.4,16.5,21,5057.1,5319,5485.7,6390.5,5287.1
