beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years,previous_year
23J40,23,3.03933481,Ellington Field,0,Robbery,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
23J50,23,2.12389492,Hobby Airport,0,Robbery,0,1,0,1,0,0,2,0.5,NA,NA,-100,-100,NA,NA,NA,NA,NA,NA,1
1A10,1,1.74646692,Downtown Central Business District,17000,Robbery,92,90,69,94,69,112,345,86.2,2.2,21.7,19.1,29.9,541.2,529.4,405.9,552.9,658.8,507.1,94
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Robbery,88,96,109,92,70,91,385,96.2,4.5,3.4,-1.1,-5.4,325.9,355.6,403.7,340.7,337,356.3,92
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Robbery,71,56,41,48,37,55,216,54,-32.4,-22.5,14.6,1.9,263,207.4,151.9,177.8,203.7,200,48
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Robbery,3,6,8,4,7,9,21,5.2,33.3,200,125,73.1,42.9,85.7,114.3,57.1,128.6,74.3,4
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Robbery,50,53,83,37,37,51,223,55.8,-26,2,37.8,-8.6,192.3,203.8,319.2,142.3,196.2,214.6,37
2A10,2,3.30928608,Irvington and Ryon,18000,Robbery,112,100,71,74,56,74,357,89.2,-33.9,-33.9,0,-17,622.2,555.6,394.4,411.1,411.1,495.6,74
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Robbery,63,54,29,34,35,42,180,45,-46,-33.3,23.5,-6.7,572.7,490.9,263.6,309.1,381.8,409.1,34
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Robbery,55,48,50,29,41,46,182,45.5,-47.3,-16.4,58.6,1.1,177.4,154.8,161.3,93.5,148.4,146.8,29
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Robbery,23,17,12,12,10,11,64,16,-47.8,-52.2,-8.3,-31.2,287.5,212.5,150,150,137.5,200,12
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Robbery,40,33,55,49,23,38,177,44.2,22.5,-5,-22.4,-14,137.9,113.8,189.7,169,131,152.4,49
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Robbery,25,25,19,27,19,22,96,24,8,-12,-18.5,-8.3,119,119,90.5,128.6,104.8,114.3,27
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Robbery,180,193,157,161,111,160,691,172.8,-10.6,-11.1,-0.6,-7.4,529.4,567.6,461.8,473.5,470.6,508.2,161
