beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,2024,last12mos,total_prior4years,avg_prior4years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior4years,previous_year
23J40,23,3.03933481,Ellington Field,0,Sexual Assault,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
23J50,23,2.12389492,Hobby Airport,0,Sexual Assault,0,1,0,0,0,0,0,1,0.2,NA,NA,NA,-100,NA,NA,NA,NA,NA,NA,0
1A10,1,1.74646692,Downtown Central Business District,17000,Sexual Assault,27,25,33,22,42,10,41,107,26.8,-18.5,51.9,86.4,53,158.8,147.1,194.1,129.4,241.2,157.6,22
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Sexual Assault,31,24,27,26,17,7,18,108,27,-16.1,-41.9,-30.8,-33.3,114.8,88.9,100,96.3,66.7,100,26
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Sexual Assault,16,21,14,10,17,3,14,61,15.2,-37.5,-12.5,40,-7.9,59.3,77.8,51.9,37,51.9,56.3,10
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Sexual Assault,2,1,0,1,1,0,0,4,1,-50,-100,-100,-100,28.6,14.3,0,14.3,0,14.3,1
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Sexual Assault,10,13,13,16,10,2,10,52,13,60,0,-37.5,-23.1,38.5,50,50,61.5,38.5,50,16
2A10,2,3.30928608,Irvington and Ryon,18000,Sexual Assault,13,18,21,11,21,4,17,63,15.8,-15.4,30.8,54.5,7.6,72.2,100,116.7,61.1,94.4,87.8,11
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Sexual Assault,5,5,5,9,5,0,4,24,6,80,-20,-55.6,-33.3,45.5,45.5,45.5,81.8,36.4,54.5,9
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Sexual Assault,8,6,7,9,11,3,11,30,7.5,12.5,37.5,22.2,46.7,25.8,19.4,22.6,29,35.5,24.2,9
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Sexual Assault,9,5,2,5,9,0,3,21,5.2,-44.4,-66.7,-40,-42.3,112.5,62.5,25,62.5,37.5,65,5
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Sexual Assault,15,14,15,15,11,0,9,59,14.8,0,-40,-40,-39.2,51.7,48.3,51.7,51.7,31,51,15
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Sexual Assault,3,5,9,6,9,3,11,23,5.8,100,266.7,83.3,89.7,14.3,23.8,42.9,28.6,52.4,27.6,6
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Sexual Assault,24,43,33,30,26,7,27,130,32.5,25,12.5,-10,-16.9,70.6,126.5,97.1,88.2,79.4,95.6,30
