beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,total23,total24,last12mos,total_prior4years,avg_prior4years,inc_20to23,inc_20tolast12,inc_23tolast12,inc_prior4yearavgtolast12,rate19,rate20,rate21,rate22,rate23,rate_last12,rate_prior4years,previous_year
23J40,23,3.03933481,Ellington Field,0,Theft,3,2,2,1,3,0,2,8,2,50,0,-33.3,0,NA,NA,NA,NA,NA,NA,NA,3
23J50,23,2.12389492,Hobby Airport,0,Theft,112,57,84,112,130,70,179,383,95.8,128.1,214,37.7,86.8,NA,NA,NA,NA,NA,NA,NA,130
1A10,1,1.74646692,Downtown Central Business District,17000,Theft,1507,883,936,1317,1379,377,1449,4515,1128.8,56.2,64.1,5.1,28.4,8864.7,5194.1,5505.9,7747.1,8111.8,8523.5,6640,1379
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Theft,2401,2056,2229,2012,2184,678,2297,8481,2120.2,6.2,11.7,5.2,8.3,8892.6,7614.8,8255.6,7451.9,8088.9,8507.4,7852.6,2184
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Theft,1920,1295,1122,1302,1390,475,1492,5109,1277.2,7.3,15.2,7.3,16.8,7111.1,4796.3,4155.6,4822.2,5148.1,5525.9,4730.4,1390
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Theft,152,144,141,141,101,33,107,527,131.8,-29.9,-25.7,5.9,-18.8,2171.4,2057.1,2014.3,2014.3,1442.9,1528.6,1882.9,101
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Theft,1517,1418,1368,1594,1558,448,1570,5938,1484.5,9.9,10.7,0.8,5.8,5834.6,5453.8,5261.5,6130.8,5992.3,6038.5,5709.6,1558
2A10,2,3.30928608,Irvington and Ryon,18000,Theft,498,516,435,575,628,223,723,2154,538.5,21.7,40.1,15.1,34.3,2766.7,2866.7,2416.7,3194.4,3488.9,4016.7,2991.7,628
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Theft,277,286,291,290,289,77,299,1156,289,1,4.5,3.5,3.5,2518.2,2600,2645.5,2636.4,2627.3,2718.2,2627.3,289
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Theft,1200,833,955,1072,1235,392,1302,4095,1023.8,48.3,56.3,5.4,27.2,3871,2687.1,3080.6,3458.1,3983.9,4200,3302.6,1235
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Theft,548,535,526,509,663,178,670,2233,558.2,23.9,25.2,1.1,20,6850,6687.5,6575,6362.5,8287.5,8375,6977.5,663
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Theft,1711,1391,1326,1427,1669,389,1664,5813,1453.2,20,19.6,-0.3,14.5,5900,4796.6,4572.4,4920.7,5755.2,5737.9,5011,1669
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Theft,763,751,821,918,1088,316,1125,3578,894.5,44.9,49.8,3.4,25.8,3633.3,3576.2,3909.5,4371.4,5181,5357.1,4259.5,1088
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Theft,1288,1270,1359,1776,1875,463,1779,6280,1570,47.6,40.1,-5.1,13.3,3788.2,3735.3,3997.1,5223.5,5514.7,5232.4,4617.6,1875
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,Theft,659,514,487,532,525,166,547,2058,514.5,2.1,6.4,4.2,6.3,2865.2,2234.8,2117.4,2313,2282.6,2378.3,2237,525
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,Theft,493,484,471,539,495,182,537,1989,497.2,2.3,11,8.5,8,3792.3,3723.1,3623.1,4146.2,3807.7,4130.8,3824.6,495
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,Theft,1322,1282,862,940,966,327,1010,4050,1012.5,-24.6,-21.2,4.6,-0.2,6610,6410,4310,4700,4830,5050,5062.5,966
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,Theft,541,644,555,554,366,106,366,2119,529.8,-43.2,-43.2,0,-30.9,3864.3,4600,3964.3,3957.1,2614.3,2614.3,3784.3,366
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,Theft,1705,1464,1506,1610,1697,303,1511,6277,1569.2,15.9,3.2,-11,-3.7,10029.4,8611.8,8858.8,9470.6,9982.4,8888.2,9230.6,1697
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33000,Theft,725,795,633,712,693,208,699,2833,708.2,-12.8,-12.1,0.9,-1.3,2197,2409.1,1918.2,2157.6,2100,2118.2,2146.1,693
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18000,Theft,479,442,418,461,433,126,462,1754,438.5,-2,4.5,6.7,5.4,2661.1,2455.6,2322.2,2561.1,2405.6,2566.7,2436.1,433
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,Theft,661,678,628,616,624,220,714,2546,636.5,-8,5.3,14.4,12.2,1739.5,1784.2,1652.6,1621.1,1642.1,1878.9,1675,624
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,Theft,567,534,533,520,475,146,484,2062,515.5,-11,-9.4,1.9,-6.1,2835,2670,2665,2600,2375,2420,2577.5,475
22B30,22,2.8264671,Aldine and Imperial Valley,19000,Theft,514,606,581,610,685,182,711,2482,620.5,13,17.3,3.8,14.6,2705.3,3189.5,3057.9,3210.5,3605.3,3742.1,3265.8,685
