beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,NA,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J40,23,3.03933481,Intercontinental Airport,0,Assault,0,0,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J40,23,3.03933481,Intercontinental Airport,0,Burglary,1,0,0,0,0,0,1,0.3,-100,-100,NA,-100,NA,NA,NA,NA,NA
23J40,23,3.03933481,Intercontinental Airport,0,Other,3,1,0,1,0,0,4,1.3,-100,-100,NA,-100,NA,NA,NA,NA,NA
23J40,23,3.03933481,Intercontinental Airport,0,Theft,3,2,2,1,0,0,7,2.3,-33.3,-100,-100,-100,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Arson,0,0,1,0,0,0,1,0.3,NA,NA,-100,-100,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Assault,33,21,37,21,0,0,91,30.3,12.1,-100,-100,-100,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Auto Theft,19,14,32,17,0,0,65,21.7,68.4,-100,-100,-100,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Burglary,4,0,0,0,0,0,4,1.3,-100,-100,NA,-100,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Drug Offenses,23,23,22,21,0,0,68,22.7,-4.3,-100,-100,-100,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Other,99,181,230,150,0,0,510,170,132.3,-100,-100,-100,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Robbery,0,1,0,1,0,0,1,0.3,NA,NA,NA,-100,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Sexual Assault,0,1,0,0,0,0,1,0.3,NA,NA,NA,-100,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Theft,112,57,84,49,0,0,253,84.3,-25,-100,-100,-100,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17000,Arson,2,6,17,4,0,0,25,8.3,750,-100,-100,-100,11.8,35.3,100,0,48.8
1A10,1,1.74646692,Downtown Central Business District,17000,Assault,934,705,829,422,0,0,2468,822.7,-11.2,-100,-100,-100,5494.1,4147.1,4876.5,0,4839.4
1A10,1,1.74646692,Downtown Central Business District,17000,Auto Theft,155,146,237,134,0,0,538,179.3,52.9,-100,-100,-100,911.8,858.8,1394.1,0,1054.7
1A10,1,1.74646692,Downtown Central Business District,17000,Burglary,76,77,65,40,0,0,218,72.7,-14.5,-100,-100,-100,447.1,452.9,382.4,0,427.6
1A10,1,1.74646692,Downtown Central Business District,17000,Drug Offenses,116,133,217,79,0,0,466,155.3,87.1,-100,-100,-100,682.4,782.4,1276.5,0,913.5
1A10,1,1.74646692,Downtown Central Business District,17000,Kidnapping,1,2,4,3,0,0,7,2.3,300,-100,-100,-100,5.9,11.8,23.5,0,13.5
1A10,1,1.74646692,Downtown Central Business District,17000,Murder,2,2,3,1,0,0,7,2.3,50,-100,-100,-100,11.8,11.8,17.6,0,13.5
1A10,1,1.74646692,Downtown Central Business District,17000,Other,697,1320,1544,703,0,0,3561,1187,121.5,-100,-100,-100,4100,7764.7,9082.4,0,6982.4
1A10,1,1.74646692,Downtown Central Business District,17000,Robbery,92,90,69,29,0,0,251,83.7,-25,-100,-100,-100,541.2,529.4,405.9,0,492.4
1A10,1,1.74646692,Downtown Central Business District,17000,Sexual Assault,27,25,33,14,0,0,85,28.3,22.2,-100,-100,-100,158.8,147.1,194.1,0,166.5
