category_name,total19,total20,total21,total22,NA,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Arson,497,532,462,241,0,0,1491,497,-7,-100,-100,-100,21.6,23.1,20,0,21.6
Assault,61469,68638,67305,32449,0,0,197412,65804,9.5,-100,-100,-100,2667.3,2978.3,2920.5,0,2855.4
Auto Theft,13645,15162,15976,8318,0,0,44783,14927.7,17.1,-100,-100,-100,592.1,657.9,693.2,0,647.7
Burglary,16901,15373,13910,6709,0,0,46184,15394.7,-17.7,-100,-100,-100,733.4,667.1,603.6,0,668
Drug Offenses,10222,8964,9356,4729,0,0,28542,9514,-8.5,-100,-100,-100,443.6,389,406,0,412.8
Kidnapping,231,265,227,175,0,0,723,241,-1.7,-100,-100,-100,10,11.5,9.8,0,10.5
Murder,289,414,469,238,0,0,1172,390.7,62.3,-100,-100,-100,12.5,18,20.4,0,17
Other,39617,68197,71294,35360,0,0,179108,59702.7,80,-100,-100,-100,1719.1,2959.2,3093.6,0,2590.6
Robbery,9200,8816,7802,3645,0,0,25818,8606,-15.2,-100,-100,-100,399.2,382.5,338.5,0,373.4
Sexual Assault,1843,1713,1715,703,0,0,5271,1757,-6.9,-100,-100,-100,80,74.3,74.4,0,76.2
Theft,73177,68759,67089,37310,0,0,209025,69675,-8.3,-100,-100,-100,3175.3,2983.6,2911.1,0,3023.3
