category_name,month,count,rollavg_3month
Sexual Assault,2019-01-01,143,NA
Sexual Assault,2019-02-01,141,NA
Sexual Assault,2019-03-01,162,149
Sexual Assault,2019-04-01,176,160
Sexual Assault,2019-05-01,135,158
Sexual Assault,2019-06-01,155,155
Sexual Assault,2019-07-01,168,153
Sexual Assault,2019-08-01,160,161
Sexual Assault,2019-09-01,155,161
Sexual Assault,2019-10-01,164,160
Sexual Assault,2019-11-01,155,158
Sexual Assault,2019-12-01,129,149
Sexual Assault,2020-01-01,150,145
Sexual Assault,2020-02-01,139,139
Sexual Assault,2020-03-01,153,147
Sexual Assault,2020-04-01,140,144
Sexual Assault,2020-05-01,158,150
Sexual Assault,2020-06-01,172,157
Sexual Assault,2020-07-01,143,158
Sexual Assault,2020-08-01,149,155
Sexual Assault,2020-09-01,140,144
Sexual Assault,2020-10-01,141,143
Sexual Assault,2020-11-01,122,134
Sexual Assault,2020-12-01,106,123
Sexual Assault,2021-01-01,134,121
Sexual Assault,2021-02-01,126,122
Sexual Assault,2021-03-01,190,150
Sexual Assault,2021-04-01,155,157
Sexual Assault,2021-05-01,178,174
Sexual Assault,2021-06-01,161,165
Sexual Assault,2021-07-01,123,154
Sexual Assault,2021-08-01,141,142
Sexual Assault,2021-09-01,132,132
Sexual Assault,2021-10-01,153,142
Sexual Assault,2021-11-01,119,135
Sexual Assault,2021-12-01,103,125
Sexual Assault,2022-01-01,131,118
Sexual Assault,2022-02-01,128,121
Sexual Assault,2022-03-01,145,135
Sexual Assault,2022-04-01,142,138
Sexual Assault,2022-05-01,155,147
Sexual Assault,2022-06-01,124,140
Sexual Assault,2022-07-01,146,142
Sexual Assault,2022-08-01,138,136
Sexual Assault,2022-09-01,113,132
Sexual Assault,2022-10-01,158,136
Sexual Assault,2022-11-01,122,131
Sexual Assault,2022-12-01,51,110
Sexual Assault,2023-01-01,155,109
Sexual Assault,2023-02-01,182,129
Sexual Assault,2023-03-01,206,181
Sexual Assault,2023-04-01,148,179
Sexual Assault,2023-05-01,172,175
Sexual Assault,2023-06-01,173,164
Sexual Assault,2023-07-01,157,167
Sexual Assault,2023-08-01,164,165
Sexual Assault,2023-09-01,124,148
Sexual Assault,2023-10-01,139,142
Sexual Assault,2023-11-01,118,127
Sexual Assault,2024-01-01,82,113
Sexual Assault,2024-02-01,197,132
Sexual Assault,2024-03-01,45,108
