beat,district,area_sq_mi,placename,population,offense_type,nibrs_class,total19,total20,total21,total22,NA,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
1A10,1,1.74646692,Downtown Central Business District,17000,"Murder, non-negligent",09A,2,2,3,1,NA,NA,7,2.3,50,NA,NA,NA,11.8,11.8,17.6,NA,13.5
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,"Murder, non-negligent",09A,2,3,4,2,NA,NA,9,3,100,NA,NA,NA,7.4,11.1,14.8,NA,11.1
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,"Murder, non-negligent",09A,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,3.7,NA,NA
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,"Murder, non-negligent",09A,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,NA,NA
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,"Murder, non-negligent",09A,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,NA,NA
2A10,2,3.30928608,Irvington and Ryon,18000,"Murder, non-negligent",09A,6,4,3,4,NA,NA,13,4.3,-50,NA,NA,NA,33.3,22.2,16.7,NA,23.9
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,"Murder, non-negligent",09A,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,9.1,NA,NA
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,"Murder, non-negligent",09A,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,"Murder, non-negligent",09A,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12.5,12.5,NA,NA,NA
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,"Murder, non-negligent",09A,1,NA,5,NA,NA,NA,NA,NA,400,NA,NA,NA,3.4,NA,17.2,NA,NA
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,"Murder, non-negligent",09A,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,4.8,NA,NA,NA
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,"Murder, non-negligent",09A,4,2,10,4,NA,NA,16,5.3,150,NA,NA,NA,11.8,5.9,29.4,NA,15.6
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,"Murder, non-negligent",09A,NA,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,8.7,NA,NA
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,"Murder, non-negligent",09A,5,6,8,3,NA,NA,19,6.3,60,NA,NA,NA,38.5,46.2,61.5,NA,48.5
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,"Murder, non-negligent",09A,1,3,8,3,NA,NA,12,4,700,NA,NA,NA,5,15,40,NA,20
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,"Murder, non-negligent",09A,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,NA,NA
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,"Murder, non-negligent",09A,7,4,2,2,NA,NA,13,4.3,-71.4,NA,NA,NA,41.2,23.5,11.8,NA,25.3
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33000,"Murder, non-negligent",09A,7,8,9,4,NA,NA,24,8,28.6,NA,NA,NA,21.2,24.2,27.3,NA,24.2
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18000,"Murder, non-negligent",09A,2,3,9,2,NA,NA,14,4.7,350,NA,NA,NA,11.1,16.7,50,NA,26.1
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,"Murder, non-negligent",09A,5,6,11,3,NA,NA,22,7.3,120,NA,NA,NA,13.2,15.8,28.9,NA,19.2
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,"Murder, non-negligent",09A,5,12,9,4,NA,NA,26,8.7,80,NA,NA,NA,25,60,45,NA,43.5
22B30,22,2.8264671,Aldine and Imperial Valley,19000,"Murder, non-negligent",09A,2,3,4,1,NA,NA,9,3,100,NA,NA,NA,10.5,15.8,21.1,NA,15.8
