beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,NA,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J50,23,2.12389492,Intercontinental Airport,0,Sexual Assault,0,1,0,0,0,0,1,0.3,NA,NA,NA,-100,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17000,Sexual Assault,27,25,33,14,0,0,85,28.3,22.2,-100,-100,-100,158.8,147.1,194.1,0,166.5
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Sexual Assault,31,24,27,14,0,0,82,27.3,-12.9,-100,-100,-100,114.8,88.9,100,0,101.1
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Sexual Assault,16,21,14,4,0,0,51,17,-12.5,-100,-100,-100,59.3,77.8,51.9,0,63
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Sexual Assault,2,1,0,1,0,0,3,1,-100,-100,NA,-100,28.6,14.3,0,0,14.3
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Sexual Assault,10,13,13,6,0,0,36,12,30,-100,-100,-100,38.5,50,50,0,46.2
2A10,2,3.30928608,Irvington and Ryon,18000,Sexual Assault,13,18,21,7,0,0,52,17.3,61.5,-100,-100,-100,72.2,100,116.7,0,96.1
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Sexual Assault,5,5,5,4,0,0,15,5,0,-100,-100,-100,45.5,45.5,45.5,0,45.5
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Sexual Assault,8,6,7,5,0,0,21,7,-12.5,-100,-100,-100,25.8,19.4,22.6,0,22.6
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Sexual Assault,9,5,2,3,0,0,16,5.3,-77.8,-100,-100,-100,112.5,62.5,25,0,66.2
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Sexual Assault,15,14,15,4,0,0,44,14.7,0,-100,-100,-100,51.7,48.3,51.7,0,50.7
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Sexual Assault,3,5,9,3,0,0,17,5.7,200,-100,-100,-100,14.3,23.8,42.9,0,27.1
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Sexual Assault,24,43,33,14,0,0,100,33.3,37.5,-100,-100,-100,70.6,126.5,97.1,0,97.9
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,Sexual Assault,8,2,7,2,0,0,17,5.7,-12.5,-100,-100,-100,34.8,8.7,30.4,0,24.8
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,Sexual Assault,20,20,17,6,0,0,57,19,-15,-100,-100,-100,153.8,153.8,130.8,0,146.2
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,Sexual Assault,27,18,18,8,0,0,63,21,-33.3,-100,-100,-100,135,90,90,0,105
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,Sexual Assault,10,5,11,2,0,0,26,8.7,10,-100,-100,-100,71.4,35.7,78.6,0,62.1
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,Sexual Assault,20,16,20,10,0,0,56,18.7,0,-100,-100,-100,117.6,94.1,117.6,0,110
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33000,Sexual Assault,20,30,29,8,0,0,79,26.3,45,-100,-100,-100,60.6,90.9,87.9,0,79.7
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18000,Sexual Assault,27,19,19,6,0,0,65,21.7,-29.6,-100,-100,-100,150,105.6,105.6,0,120.6
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,Sexual Assault,19,30,11,10,0,0,60,20,-42.1,-100,-100,-100,50,78.9,28.9,0,52.6
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,Sexual Assault,27,14,17,10,0,0,58,19.3,-37,-100,-100,-100,135,70,85,0,96.5
22B30,22,2.8264671,Aldine and Imperial Valley,19000,Sexual Assault,16,11,16,8,0,0,43,14.3,0,-100,-100,-100,84.2,57.9,84.2,0,75.3
22B20,22,4.61158268,Greenspoint,24000,Sexual Assault,39,34,39,13,0,0,112,37.3,0,-100,-100,-100,162.5,141.7,162.5,0,155.4
7C10,7,3.47828324,"Fifth Ward, North Park and Pinecrest",13000,Sexual Assault,12,17,18,4,0,0,47,15.7,50,-100,-100,-100,92.3,130.8,138.5,0,120.8
7C20,7,7.08575157,"Huntington Place, Willshire Place, Kashmere Gardens and Liberty Gardens",21000,Sexual Assault,50,41,33,6,0,0,124,41.3,-34,-100,-100,-100,238.1,195.2,157.1,0,196.7
7C30,7,4.51719841,"Camden Woods, Archers Acres and Croyden Gardens",18000,Sexual Assault,22,19,23,5,0,0,64,21.3,4.5,-100,-100,-100,122.2,105.6,127.8,0,118.3
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,8000,Sexual Assault,6,7,2,6,0,0,15,5,-66.7,-100,-100,-100,75,87.5,25,0,62.5
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Sexual Assault,11,14,15,5,0,0,40,13.3,36.4,-100,-100,-100,100,127.3,136.4,0,120.9
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Sexual Assault,12,14,19,7,0,0,45,15,58.3,-100,-100,-100,100,116.7,158.3,0,125
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Sexual Assault,5,3,6,0,0,0,14,4.7,20,-100,-100,-100,71.4,42.9,85.7,0,67.1
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Sexual Assault,4,10,10,4,0,0,24,8,150,-100,-100,-100,36.4,90.9,90.9,0,72.7
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Sexual Assault,5,6,1,0,0,0,12,4,-80,-100,-100,-100,62.5,75,12.5,0,50
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Sexual Assault,7,9,11,4,0,0,27,9,57.1,-100,-100,-100,87.5,112.5,137.5,0,112.5
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Sexual Assault,18,14,17,4,0,0,49,16.3,-5.6,-100,-100,-100,94.7,73.7,89.5,0,85.8
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Sexual Assault,4,4,10,1,0,0,18,6,150,-100,-100,-100,66.7,66.7,166.7,0,100
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Sexual Assault,11,11,9,9,0,0,31,10.3,-18.2,-100,-100,-100,68.8,68.8,56.2,0,64.4
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Sexual Assault,9,11,17,3,0,0,37,12.3,88.9,-100,-100,-100,100,122.2,188.9,0,136.7
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Sexual Assault,20,15,15,17,0,0,50,16.7,-25,-100,-100,-100,87,65.2,65.2,0,72.6
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Sexual Assault,10,5,11,2,0,0,26,8.7,10,-100,-100,-100,90.9,45.5,100,0,79.1
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Sexual Assault,5,6,3,3,0,0,14,4.7,-40,-100,-100,-100,50,60,30,0,47
10H30,10,1.02691154,Near East End,4000,Sexual Assault,8,5,6,2,0,0,19,6.3,-25,-100,-100,-100,200,125,150,0,157.5
10H40,10,0.99627062,Midtown,8000,Sexual Assault,16,16,23,15,0,0,55,18.3,43.8,-100,-100,-100,200,200,287.5,0,228.8
10H50,10,2.30843079,the University of Houston area,13000,Sexual Assault,14,11,12,4,0,0,37,12.3,-14.3,-100,-100,-100,107.7,84.6,92.3,0,94.6
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Sexual Assault,20,14,13,6,0,0,47,15.7,-35,-100,-100,-100,100,70,65,0,78.5
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Sexual Assault,28,32,45,22,0,0,105,35,60.7,-100,-100,-100,175,200,281.2,0,218.8
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Sexual Assault,21,6,13,2,0,0,40,13.3,-38.1,-100,-100,-100,110.5,31.6,68.4,0,70
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Sexual Assault,24,23,28,10,0,0,75,25,16.7,-100,-100,-100,85.7,82.1,100,0,89.3
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Sexual Assault,8,9,20,4,0,0,37,12.3,150,-100,-100,-100,44.4,50,111.1,0,68.3
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Sexual Assault,15,12,9,7,0,0,36,12,-40,-100,-100,-100,100,80,60,0,80
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Sexual Assault,4,2,7,0,0,0,13,4.3,75,-100,-100,-100,50,25,87.5,0,53.8
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Sexual Assault,4,18,8,2,0,0,30,10,100,-100,-100,-100,50,225,100,0,125
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Sexual Assault,31,29,33,16,0,0,93,31,6.5,-100,-100,-100,70.5,65.9,75,0,70.5
12D20,12,3.83700574,Sage,22000,Sexual Assault,12,14,10,3,0,0,36,12,-16.7,-100,-100,-100,54.5,63.6,45.5,0,54.5
12D30,12,3.99301158,Gulf Palms and Beamer,15000,Sexual Assault,3,3,9,1,0,0,15,5,200,-100,-100,-100,20,20,60,0,33.3
12D40,12,9.68663455,Scarsdale and Ellington Field,11000,Sexual Assault,10,7,8,8,0,0,25,8.3,-20,-100,-100,-100,90.9,63.6,72.7,0,75.5
12D50,12,8.93327581,"Bay Glen, Bay Oaks, Brook Forest and Bay Forest",26000,Sexual Assault,4,8,5,3,0,0,17,5.7,25,-100,-100,-100,15.4,30.8,19.2,0,21.9
12D60,12,6.35832041,"NASA's Johnson Space Center, Meadow Green, Oakbrook West and Camino South",22000,Sexual Assault,15,9,23,2,0,0,47,15.7,53.3,-100,-100,-100,68.2,40.9,104.5,0,71.4
12D70,12,5.39156317,Baybrook Mall and Sterling Knoll,12000,Sexual Assault,8,7,8,8,0,0,23,7.7,0,-100,-100,-100,66.7,58.3,66.7,0,64.2
13D10,13,5.2433708,"Gulfgate Mall, Bay Forest, Riverview, Hampshire, Golfcrest and Barnett Stadium",23000,Sexual Assault,30,20,25,8,0,0,75,25,-16.7,-100,-100,-100,130.4,87,108.7,0,108.7
13D20,13,6.66870859,"Fairlawn, Garden Villas, Glenbrook Valley and Santa Rosa",36000,Sexual Assault,31,31,22,18,0,0,84,28,-29,-100,-100,-100,86.1,86.1,61.1,0,77.8
13D30,13,3.07402543,"Allen Farms, Airport Gardens and the Hobby Airport area",2000,Sexual Assault,5,1,0,1,0,0,6,2,-100,-100,NA,-100,250,50,0,0,100
13D40,13,5.0688163,"Val Verde East, Gulf Meadows and Houston Skyscraper Shadows",13000,Sexual Assault,8,15,1,4,0,0,24,8,-87.5,-100,-100,-100,61.5,115.4,7.7,0,61.5
14D10,14,3.66057918,McGregor Terrace and Riverside Terrace,17000,Sexual Assault,21,31,19,8,0,0,71,23.7,-9.5,-100,-100,-100,123.5,182.4,111.8,0,139.4
14D20,14,7.25646368,"Blueridge, Sunnyside, Brook Haven and Bayou Estates",28000,Sexual Assault,43,38,37,11,0,0,118,39.3,-14,-100,-100,-100,153.6,135.7,132.1,0,140.4
14D30,14,4.20537595,"Crestmont, Edgewood, Bellfort Park, Inwood Terrace and Southpark",21000,Sexual Assault,21,14,8,7,0,0,43,14.3,-61.9,-100,-100,-100,100,66.7,38.1,0,68.1
14D40,14,6.61224595,"South Acres, Shamrock Manor, Hillwood and Cloverland",21000,Sexual Assault,23,18,13,10,0,0,54,18,-43.5,-100,-100,-100,109.5,85.7,61.9,0,85.7
14D50,14,8.69627992,"Golden Glade Estates, Langston and Almeda Genoa",9000,Sexual Assault,3,7,4,2,0,0,14,4.7,33.3,-100,-100,-100,33.3,77.8,44.4,0,52.2
15E10,15,4.34996776,"Meyerland Plaza, Robindell, Meyerland, Braeburn Terrace and Maplewood South",24000,Sexual Assault,5,8,10,3,0,0,23,7.7,100,-100,-100,-100,20.8,33.3,41.7,0,32.1
15E20,15,3.58384499,"Westbury, Park West and Willow Creek",18000,Sexual Assault,8,16,3,2,0,0,27,9,-62.5,-100,-100,-100,44.4,88.9,16.7,0,50
15E30,15,6.29133294,"Meyer Park, Post Oak Manor, Westwood, Willow Bend and Linkwood",34000,Sexual Assault,17,9,16,5,0,0,42,14,-5.9,-100,-100,-100,50,26.5,47.1,0,41.2
15E40,15,10.0079174,"The Astrodome, Six Flags Astroworld, Lakes at 610 and Plaza del Oro",30000,Sexual Assault,22,15,23,10,0,0,60,20,4.5,-100,-100,-100,73.3,50,76.7,0,66.7
16E10,16,5.38940818,Canterbury Village and Monarch Estates,15000,Sexual Assault,9,6,4,0,0,0,19,6.3,-55.6,-100,-100,-100,60,40,26.7,0,42
