beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J40,23,3.03933481,Intercontinental Airport,0,Theft,3,2,2,0,1,7,2.3,-33.3,-66.7,-50,-57,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Theft,112,57,84,45,89,253,84.3,-25,-20.5,6,6,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17000,Theft,1507,883,936,491,1139,3326,1108.7,-37.9,-24.4,21.7,3,8864.7,5194.1,5505.9,6700,6521.8
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Theft,2401,2056,2229,835,2072,6686,2228.7,-7.2,-13.7,-7,-7,8892.6,7614.8,8255.6,7674.1,8254.4
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Theft,1920,1295,1122,581,1215,4337,1445.7,-41.6,-36.7,8.3,-16,7111.1,4796.3,4155.6,4500,5354.4
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Theft,152,144,141,61,137,437,145.7,-7.2,-9.9,-2.8,-6,2171.4,2057.1,2014.3,1957.1,2081.4
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Theft,1517,1418,1368,748,1509,4303,1434.3,-9.8,-0.5,10.3,5,5834.6,5453.8,5261.5,5803.8,5516.5
2A10,2,3.30928608,Irvington and Ryon,18000,Theft,498,516,435,251,525,1449,483,-12.7,5.4,20.7,9,2766.7,2866.7,2416.7,2916.7,2683.3
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Theft,277,286,291,126,280,854,284.7,5.1,1.1,-3.8,-2,2518.2,2600,2645.5,2545.5,2588.2
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Theft,1200,833,955,434,1032,2988,996,-20.4,-14,8.1,4,3871,2687.1,3080.6,3329,3212.9
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Theft,548,535,526,221,526,1609,536.3,-4,-4,0,-2,6850,6687.5,6575,6575,6703.8
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Theft,1711,1391,1326,606,1479,4428,1476,-22.5,-13.6,11.5,0,5900,4796.6,4572.4,5100,5089.7
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Theft,763,751,821,388,862,2335,778.3,7.6,13,5,11,3633.3,3576.2,3909.5,4104.8,3706.2
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Theft,1288,1270,1359,740,1605,3917,1305.7,5.5,24.6,18.1,23,3788.2,3735.3,3997.1,4720.6,3840.3
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,Theft,659,514,487,188,473,1660,553.3,-26.1,-28.2,-2.9,-15,2865.2,2234.8,2117.4,2056.5,2405.7
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,Theft,493,484,471,223,503,1448,482.7,-4.5,2,6.8,4,3792.3,3723.1,3623.1,3869.2,3713.1
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,Theft,1322,1282,862,345,827,3466,1155.3,-34.8,-37.4,-4.1,-28,6610,6410,4310,4135,5776.5
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,Theft,541,644,555,288,624,1740,580,2.6,15.3,12.4,8,3864.3,4600,3964.3,4457.1,4142.9
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,Theft,1705,1464,1506,626,1577,4675,1558.3,-11.7,-7.5,4.7,1,10029.4,8611.8,8858.8,9276.5,9166.5
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33000,Theft,725,795,633,288,672,2153,717.7,-12.7,-7.3,6.2,-6,2197,2409.1,1918.2,2036.4,2174.8
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18000,Theft,479,442,418,190,435,1339,446.3,-12.7,-9.2,4.1,-3,2661.1,2455.6,2322.2,2416.7,2479.4
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,Theft,661,678,628,253,648,1967,655.7,-5,-2,3.2,-1,1739.5,1784.2,1652.6,1705.3,1725.5
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,Theft,567,534,533,247,585,1634,544.7,-6,3.2,9.8,7,2835,2670,2665,2925,2723.5
