Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-03-04T00:00:00Z,14,Theft,10H10,Bar or Night Club,3100-3199,BERING,-,-,1
2015-03-13T00:00:00Z,22,Robbery,10H10,"Road, Street, or Sidewalk",1900-1999,RUNNELS,-,-,1
2015-03-04T00:00:00Z,11,Theft,10H10,Residence or House,400-499,COWLING,ST,-,1
2015-03-09T00:00:00Z,07,Auto Theft,10H10,Apartment Parking Lot,2100-2199,RUNNELS,-,-,1
2015-03-18T00:00:00Z,08,Theft,10H10,Bar or Night Club,2800-2899,NAVIGATION,-,-,1
2015-03-18T00:00:00Z,15,Theft,10H10,"Multi-Plex Home (Duplex,Triplex Etc.)",UNK,NORWOOD,-,-,1
2015-03-23T00:00:00Z,06,Burglary,10H10,Residence or House,4700-4799,SHERMAN,-,-,1
2015-03-01T00:00:00Z,21,Aggravated Assault,10H10,Residence or House,5300-5399,TEXAS,ST,-,1
2015-03-04T00:00:00Z,10,Theft,10H10,Residence or House,UNK,GREENWOOD,ST,-,1
2015-03-10T00:00:00Z,18,Burglary,10H10,Residence or House,300-399,ADAMS,ST,N,1
2015-03-11T00:00:00Z,14,Auto Theft,10H10,"Road, Street, or Sidewalk",100-199,EVERTON,ST,N,1
2015-03-15T00:00:00Z,16,Burglary,10H10,"Vacant Single Occ Resd(House,Townhs,Dplex)",300-399,YORK,-,-,1
2015-03-25T00:00:00Z,22,Theft,10H10,"Road, Street, or Sidewalk",2300-2399,COMMERCE,ST,-,1
2015-03-30T00:00:00Z,05,Theft,10H10,Bar or Night Club Parking Lot,3900-3999,CANAL,ST,-,1
2015-03-24T00:00:00Z,07,Burglary,10H10,Apartment,3900-3999,CANAL,ST,-,1
2015-03-27T00:00:00Z,18,Aggravated Assault,10H10,Freeway Service Road,300-399,JENSEN,DR,S,1
2015-03-28T00:00:00Z,09,Theft,10H10,Apartment Parking Lot,300-399,JENSEN,DR,S,1
2015-03-29T00:00:00Z,17,Theft,10H10,Laundry or Dry Cleaners Parking Lot,400-499,ALTIC,ST,-,1
2015-03-02T00:00:00Z,18,Theft,10H10,Residence or House,400-499,BRYAN,-,N,1
2015-03-17T00:00:00Z,07,Auto Theft,10H10,"Road, Street, or Sidewalk",5400-5499,CANAL,ST,-,1
2015-03-17T00:00:00Z,07,Burglary,10H10,Restaurant or Cafeteria,2300-2399,CANAL,ST,-,1
2015-03-19T00:00:00Z,09,Burglary,10H10,Restaurant or Cafeteria,4900-4999,HARRISBURG,-,-,1
2015-03-26T00:00:00Z,02,Burglary,10H10,Commercial Building,UNK,DRENNAN,ST,-,1
2015-03-26T00:00:00Z,20,Theft,10H10,"Road, Street, or Sidewalk",4000-4099,GARROW,-,-,1
2015-03-27T00:00:00Z,03,Burglary,10H10,"Laundry, Dry Cleaners, Washaterias",3500-3599,CANAL,ST,-,1
2015-03-28T00:00:00Z,11,Aggravated Assault,10H10,Apartment,UNK,LINWOOD,-,-,1
2015-03-28T00:00:00Z,19,Theft,10H10,University or College,300-399,DRENNAN,ST,N,1
2015-03-04T00:00:00Z,11,Theft,10H10,"Hotel, Motel, Inn, Etc.",400-499,HUTCHESON,ST,N,1
2015-03-06T00:00:00Z,06,Burglary,10H10,"Physician, Doctor, Dentist's Office",5200-5299,HARRISBURG,-,-,1
2015-03-07T00:00:00Z,10,Aggravated Assault,10H10,Residence or House,300-399,DELMAR,ST,-,1
2015-03-02T00:00:00Z,08,Burglary,10H10,"Vacant Single Occ Resd(House,Townhs,Dplex)",200-299,SAINT CHARLES,-,-,1
2015-03-06T00:00:00Z,07,Robbery,10H10,Light Rail (Metro Rail) Vehicle,5400-5499,SHERMAN,-,-,1
2015-03-20T00:00:00Z,17,Theft,10H10,Restaurant or Cafeteria Parking Lot,2300-2399,CANAL,ST,-,1
2015-03-23T00:00:00Z,11,Theft,10H10,"Parks and Recreation, Zoo, Swimming Pool",5000-5099,HARRISBURG,-,-,1
2015-03-29T00:00:00Z,07,Burglary,10H10,Maintenance or Building Services,3000-3099,GARROW,-,-,1
2015-03-30T00:00:00Z,14,Burglary,10H10,Residence or House,300-399,ROBERTS,ST,-,1
2015-03-16T00:00:00Z,12,Theft,10H10,Residence or House,100-199,JENKINS,ST,N,1
2015-03-24T00:00:00Z,05,Aggravated Assault,10H10,Residence or House,4800-4899,BRADY,ST,-,1
