Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2015-05-07T00:00:00Z,12,Theft,10H10,Commercial Parking Lot or Garage,900-999,YORK,-,N,1
2015-05-10T00:00:00Z,16,Theft,10H10,Driveway,200-299,BURR,-,-,1
2015-05-13T00:00:00Z,06,Aggravated Assault,10H10,"Field, Woods, Forest, Park",1900-1999,RUNNELS,-,-,1
2015-05-17T00:00:00Z,12,Burglary,10H10,Apartment,100-199,EASTWOOD,ST,-,1
2015-05-22T00:00:00Z,12,Aggravated Assault,10H10,Apartment,1900-1999,RUNNELS,-,-,1
2015-05-29T00:00:00Z,22,Robbery,10H10,Auto Repair,5600-5699,HARRISBURG,-,-,1
2015-05-31T00:00:00Z,11,Auto Theft,10H10,,2100-2199,CANAL,ST,-,1
2015-05-11T00:00:00Z,15,Burglary,10H10,Residence or House,200-299,BURR,-,-,1
2015-05-16T00:00:00Z,01,Rape,10H10,Apartment,5900-5999,BRADY,ST,-,1
2015-05-18T00:00:00Z,08,Auto Theft,10H10,"Road, Street, or Sidewalk",500-599,FOREST,-,-,2
2015-05-21T00:00:00Z,17,Theft,10H10,Residence or House,400-499,SIDNEY,-,-,1
2015-05-26T00:00:00Z,12,Theft,10H10,"Road, Street, or Sidewalk",200-299,HUNT,-,-,1
2015-05-31T00:00:00Z,17,Auto Theft,10H10,Other Parking Lot,5100-5199,NAVIGATION,-,-,1
2015-05-05T00:00:00Z,12,Burglary,10H10,Residence or House,200-299,SIDNEY,-,-,1
2015-05-12T00:00:00Z,09,Theft,10H10,Garage or Carport,2100-2199,CANAL,ST,-,1
2015-05-13T00:00:00Z,09,Theft,10H10,Apartment,5400-5499,CANAL,ST,-,1
2015-05-19T00:00:00Z,23,Theft,10H10,Restaurant or Cafeteria Parking Lot,2300-2399,CANAL,ST,-,1
2015-05-30T00:00:00Z,18,Theft,10H10,Apartment,1900-1999,RUNNELS,-,-,1
2015-05-04T00:00:00Z,14,Theft,10H10,Other Parking Lot,6000-6099,NAVIGATION,-,-,1
2015-05-06T00:00:00Z,07,Auto Theft,10H10,"Road, Street, or Sidewalk",200-299,HUNT,-,-,1
2015-05-19T00:00:00Z,21,Theft,10H10,"Road, Street, or Sidewalk",3000-3099,CANAL,ST,-,1
2015-05-26T00:00:00Z,10,Theft,10H10,Driveway,200-299,HUNT,-,-,1
2015-05-27T00:00:00Z,23,Theft,10H10,Bar or Night Club,4200-4299,NAVIGATION,-,-,1
2015-04-28T00:00:00Z,15,Burglary,10H10,Garage or Carport,400-499,N. EVERTON,ST,-,1
2015-05-06T00:00:00Z,02,Auto Theft,10H10,"Road, Street, or Sidewalk",300-399,ESTELLE,ST,-,1
2015-05-22T00:00:00Z,07,Rape,10H10,Apartment,1900-1999,RUNNELS,-,-,1
2015-05-01T00:00:00Z,10,Theft,10H10,Miscellaneous Business (Non-Specific),400-499,STILES,ST,N,1
2015-05-15T00:00:00Z,07,Theft,10H10,"Road, Street, or Sidewalk",2500-2599,GARROW,-,-,1
2015-05-18T00:00:00Z,22,Theft,10H10,Apartment,5400-5499,CANAL,ST,-,1
2015-05-22T00:00:00Z,23,Theft,10H10,Residence or House,100-199,VELASCO,-,-,1
2015-05-25T00:00:00Z,11,Theft,10H10,Service or Gas Station,500-599,LOCKWOOD,DR,-,1
