date,offense_type,count,day,,
4/16/23,"Murder, non-negligent",1,Sunday,7,
4/9/23,"Murder, non-negligent",3,Sunday,1,
4/8/23,"Murder, non-negligent",3,Saturday,6,
4/2/23,"Murder, non-negligent",1,Sunday,8,
3/25/23,"Murder, non-negligent",1,Saturday,6,
3/19/23,"Murder, non-negligent",3,Sunday,1,
3/18/23,"Murder, non-negligent",2,Saturday,7,
3/11/23,"Murder, non-negligent",1,Saturday,6,
3/5/23,"Murder, non-negligent",1,Sunday,7,
2/26/23,"Murder, non-negligent",1,Sunday,1,
2/25/23,"Murder, non-negligent",1,Saturday,7,
2/18/23,"Murder, non-negligent",1,Saturday,6,
2/12/23,"Murder, non-negligent",1,Sunday,1,
2/11/23,"Murder, non-negligent",1,Saturday,6,
2/5/23,"Murder, non-negligent",1,Sunday,1,
2/4/23,"Murder, non-negligent",3,Saturday,6,
1/29/23,"Murder, non-negligent",2,Sunday,1,
1/28/23,"Murder, non-negligent",1,Saturday,7,
1/21/23,"Murder, non-negligent",3,Saturday,6,
1/15/23,"Murder, non-negligent",2,Sunday,1,
1/14/23,"Murder, non-negligent",3,Saturday,6,
1/8/23,"Murder, non-negligent",2,Sunday,1,
1/7/23,"Murder, non-negligent",1,Saturday,6,
1/1/23,"Murder, non-negligent",2,Sunday,1,
12/31/22,"Murder, non-negligent",2,Saturday,13,1
12/18/22,"Murder, non-negligent",1,Sunday,1,
12/17/22,"Murder, non-negligent",1,Saturday,6,
12/11/22,"Murder, non-negligent",2,Sunday,1,
12/10/22,"Murder, non-negligent",4,Saturday,6,
12/4/22,"Murder, non-negligent",2,Sunday,1,
12/3/22,"Murder, non-negligent",1,Saturday,6,
11/27/22,"Murder, non-negligent",2,Sunday,1,
11/26/22,"Murder, non-negligent",1,Saturday,6,
11/20/22,"Murder, non-negligent",2,Sunday,1,
11/19/22,"Murder, non-negligent",2,Saturday,7,
11/12/22,"Murder, non-negligent",2,Saturday,7,
11/5/22,"Murder, non-negligent",2,Saturday,6,
10/30/22,"Murder, non-negligent",2,Sunday,1,
10/29/22,"Murder, non-negligent",5,Saturday,7,
10/22/22,"Murder, non-negligent",4,Saturday,13,2
10/9/22,"Murder, non-negligent",2,Sunday,1,
10/8/22,"Murder, non-negligent",2,Saturday,6,
10/2/22,"Murder, non-negligent",2,Sunday,1,
10/1/22,"Murder, non-negligent",2,Saturday,6,
9/25/22,"Murder, non-negligent",2,Sunday,1,
9/24/22,"Murder, non-negligent",2,Saturday,7,
9/17/22,"Murder, non-negligent",1,Saturday,6,
9/11/22,"Murder, non-negligent",1,Sunday,1,
9/10/22,"Murder, non-negligent",3,Saturday,6,
9/4/22,"Murder, non-negligent",3,Sunday,1,
9/3/22,"Murder, non-negligent",3,Saturday,6,
8/28/22,"Murder, non-negligent",5,Sunday,1,
8/27/22,"Murder, non-negligent",1,Saturday,6,
8/21/22,"Murder, non-negligent",1,Sunday,1,
8/20/22,"Murder, non-negligent",2,Saturday,6,
8/14/22,"Murder, non-negligent",1,Sunday,7,
8/7/22,"Murder, non-negligent",1,Sunday,1,
8/6/22,"Murder, non-negligent",1,Saturday,13,3
7/24/22,"Murder, non-negligent",1,Sunday,1,
7/23/22,"Murder, non-negligent",3,Saturday,6,
7/17/22,"Murder, non-negligent",2,Sunday,1,
7/16/22,"Murder, non-negligent",1,Saturday,6,
7/10/22,"Murder, non-negligent",1,Sunday,1,
7/9/22,"Murder, non-negligent",1,Saturday,6,
7/3/22,"Murder, non-negligent",2,Sunday,7,
6/26/22,"Murder, non-negligent",3,Sunday,1,
6/25/22,"Murder, non-negligent",4,Saturday,6,
6/19/22,"Murder, non-negligent",1,Sunday,1,
6/18/22,"Murder, non-negligent",2,Saturday,6,
6/12/22,"Murder, non-negligent",2,Sunday,1,
6/11/22,"Murder, non-negligent",1,Saturday,13,4
5/29/22,"Murder, non-negligent",2,Sunday,8,
5/21/22,"Murder, non-negligent",1,Saturday,7,
5/14/22,"Murder, non-negligent",2,Saturday,6,
5/8/22,"Murder, non-negligent",2,Sunday,1,
5/7/22,"Murder, non-negligent",1,Saturday,6,
5/1/22,"Murder, non-negligent",1,Sunday,7,
4/24/22,"Murder, non-negligent",2,Sunday,1,
4/23/22,"Murder, non-negligent",3,Saturday,6,
4/17/22,"Murder, non-negligent",4,Sunday,1,
4/16/22,"Murder, non-negligent",1,Saturday,6,
4/10/22,"Murder, non-negligent",1,Sunday,1,
4/9/22,"Murder, non-negligent",1,Saturday,7,
4/2/22,"Murder, non-negligent",2,Saturday,7,
3/26/22,"Murder, non-negligent",1,Saturday,6,
3/20/22,"Murder, non-negligent",2,Sunday,1,
3/19/22,"Murder, non-negligent",1,Saturday,13,5
3/6/22,"Murder, non-negligent",2,Sunday,7,
2/27/22,"Murder, non-negligent",2,Sunday,1,
2/26/22,"Murder, non-negligent",1,Saturday,6,
2/20/22,"Murder, non-negligent",2,Sunday,1,
2/19/22,"Murder, non-negligent",1,Saturday,7,
2/12/22,"Murder, non-negligent",2,Saturday,6,
2/6/22,"Murder, non-negligent",3,Sunday,1,
2/5/22,"Murder, non-negligent",4,Saturday,6,
1/30/22,"Murder, non-negligent",1,Sunday,1,
1/29/22,"Murder, non-negligent",1,Saturday,6,
1/23/22,"Murder, non-negligent",2,Sunday,1,
1/22/22,"Murder, non-negligent",1,Saturday,6,
1/16/22,"Murder, non-negligent",2,Sunday,1,
1/15/22,"Murder, non-negligent",3,Saturday,6,
1/9/22,"Murder, non-negligent",1,Sunday,1,
1/8/22,"Murder, non-negligent",3,Saturday,7,
1/1/22,"Murder, non-negligent",1,Saturday,7,
12/25/21,"Murder, non-negligent",1,Saturday,13,
12/12/21,"Murder, non-negligent",2,Sunday,7,
12/5/21,"Murder, non-negligent",1,Sunday,1,
12/4/21,"Murder, non-negligent",2,Saturday,6,
11/28/21,"Murder, non-negligent",2,Sunday,1,
11/27/21,"Murder, non-negligent",4,Saturday,6,
11/21/21,"Murder, non-negligent",3,Sunday,1,
11/20/21,"Murder, non-negligent",3,Saturday,6,
11/14/21,"Murder, non-negligent",2,Sunday,1,
11/13/21,"Murder, non-negligent",2,Saturday,6,
11/7/21,"Murder, non-negligent",1,Sunday,7,
10/31/21,"Murder, non-negligent",4,Sunday,1,
10/30/21,"Murder, non-negligent",2,Saturday,6,
10/24/21,"Murder, non-negligent",2,Sunday,1,
10/23/21,"Murder, non-negligent",1,Saturday,6,
10/17/21,"Murder, non-negligent",5,Sunday,1,
10/16/21,"Murder, non-negligent",1,Saturday,6,
10/10/21,"Murder, non-negligent",1,Sunday,1,
10/9/21,"Murder, non-negligent",2,Saturday,6,
10/3/21,"Murder, non-negligent",2,Sunday,1,
10/2/21,"Murder, non-negligent",1,Saturday,6,
