beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J50,23,2.12389492,Intercontinental Airport,0,Robbery,0,1,0,1,1,1,0.3,NA,NA,NA,233,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17000,Robbery,92,90,69,23,64,251,83.7,-25,-30.4,-7.2,-24,541.2,529.4,405.9,376.5,492.4
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Robbery,88,96,109,37,102,293,97.7,23.9,15.9,-6.4,4,325.9,355.6,403.7,377.8,361.9
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Robbery,71,56,41,18,41,168,56,-42.3,-42.3,0,-27,263,207.4,151.9,151.9,207.4
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Robbery,3,6,8,2,7,17,5.7,166.7,133.3,-12.5,23,42.9,85.7,114.3,100,81.4
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Robbery,50,53,83,14,54,186,62,66,8,-34.9,-13,192.3,203.8,319.2,207.7,238.5
2A10,2,3.30928608,Irvington and Ryon,18000,Robbery,112,100,71,43,92,283,94.3,-36.6,-17.9,29.6,-2,622.2,555.6,394.4,511.1,523.9
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Robbery,63,54,29,17,35,146,48.7,-54,-44.4,20.7,-28,572.7,490.9,263.6,318.2,442.7
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Robbery,55,48,50,16,39,153,51,-9.1,-29.1,-22,-24,177.4,154.8,161.3,125.8,164.5
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Robbery,23,17,12,8,12,52,17.3,-47.8,-47.8,0,-31,287.5,212.5,150,150,216.2
