category_name,month,count
Theft,2019-01-01,5427
Theft,2019-02-01,5107
Theft,2019-03-01,5464
Theft,2019-04-01,5874
Theft,2019-05-01,6716
Theft,2019-06-01,6075
Theft,2019-07-01,6723
Theft,2019-08-01,6616
Theft,2019-09-01,5971
Theft,2019-10-01,6258
Theft,2019-11-01,6349
Theft,2019-12-01,6597
Theft,2020-01-01,6561
Theft,2020-02-01,6335
Theft,2020-03-01,5507
Theft,2020-04-01,4715
Theft,2020-05-01,5450
Theft,2020-06-01,5914
Theft,2020-07-01,5480
Theft,2020-08-01,5696
Theft,2020-09-01,5386
Theft,2020-10-01,5830
Theft,2020-11-01,5797
Theft,2020-12-01,6088
Theft,2021-01-01,5698
Theft,2021-02-01,4858
Theft,2021-03-01,5365
Theft,2021-04-01,5322
Theft,2021-05-01,5717
Theft,2021-06-01,5724
Theft,2021-07-01,5392
Theft,2021-08-01,5560
Theft,2021-09-01,5704
Theft,2021-10-01,5998
Theft,2021-11-01,5865
Theft,2021-12-01,5886
Theft,2022-01-01,6116
Theft,2022-02-01,5536
