beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J40,23,3.03933481,Intercontinental Airport,0,Violent,0,0,0,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Violent,20,18,23,12,26,61,20.3,15,30,13,28,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17359,Violent,851,596,697,200,727,2144,714.7,-18.1,-14.6,4.3,2,4902.4,3433.4,4015.2,4188,4117.2
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27449,Violent,647,573,704,248,722,1924,641.3,8.8,11.6,2.6,13,2357.1,2087.5,2564.8,2630.3,2336.3
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",26972,Violent,388,361,302,106,315,1051,350.3,-22.2,-18.8,4.3,-10,1438.5,1338.4,1119.7,1167.9,1298.8
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",6765,Violent,30,23,34,11,31,87,29,13.3,3.3,-8.8,7,443.5,340,502.6,458.2,428.7
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26355,Violent,284,335,363,102,341,982,327.3,27.8,20.1,-6.1,4,1077.6,1271.1,1377.3,1293.9,1241.9
2A10,2,3.30928608,Irvington and Ryon,18357,Violent,743,702,579,187,585,2024,674.7,-22.1,-21.3,1,-13,4047.5,3824.2,3154.1,3186.8,3675.4
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",10730,Violent,286,309,233,67,233,828,276,-18.5,-18.5,0,-16,2665.4,2879.8,2171.5,2171.5,2572.2
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",30794,Violent,281,243,232,78,229,756,252,-17.4,-18.5,-1.3,-9,912.5,789.1,753.4,743.7,818.3
2A40,2,1.60546103,Old Sixth Ward and the First Ward,7770,Violent,121,126,128,43,137,375,125,5.8,13.2,7,10,1557.3,1621.6,1647.4,1763.2,1608.8
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",28700,Violent,354,307,413,111,407,1074,358,16.7,15,-1.5,14,1233.4,1069.7,1439,1418.1,1247.4
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21326,Violent,212,206,241,75,241,659,219.7,13.7,13.7,0,10,994.1,966,1130.1,1130.1,1030.2
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",33931,Violent,957,1055,1016,320,1014,3028,1009.3,6.2,6,-0.2,0,2820.4,3109.3,2994.3,2988.4,2974.6
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23113,Violent,221,230,227,71,233,678,226,2.7,5.4,2.6,3,956.2,995.1,982.1,1008.1,977.8
